target:h_c,target:sigma_k,predicted:h_c,predicted:sigma_k
1.0489764213562012,50.53543472290039,1.1875728368759155,36.64946746826172
1.1425197124481201,556.8976440429688,0.880774199962616,636.7435913085938
0.7371653318405151,666.9763793945312,0.9713794589042664,579.6302490234375
0.7059842348098755,655.968505859375,0.9508118033409119,553.3278198242188
0.6280314922332764,237.66929626464844,0.9271295070648193,156.7584228515625
0.16031496226787567,672.4802856445312,0.5886601209640503,479.031982421875
1.9688189029693604,408.2913513183594,1.747539758682251,483.1792297363281
0.9242519736289978,413.7952880859375,1.3313345909118652,371.2770080566406
1.1113386154174805,67.0472412109375,1.2096757888793945,35.97478103637695
1.1425197124481201,122.08661651611328,1.1596230268478394,140.3290557861328
1.017795443534851,556.8976440429688,1.4802494049072266,542.1632690429688
1.2048819065093994,545.8897705078125,1.5821114778518677,549.3384399414062
0.3785826861858368,138.59841918945312,0.3376774787902832,148.9697265625
0.34740158915519714,111.07874298095703,0.27499744296073914,154.86233520507812
1.15811026096344,56.039371490478516,1.2594873905181885,46.71052551269531
1.2672441005706787,237.66929626464844,1.3564053773880005,247.04531860351562
1.3140157461166382,199.14173889160156,1.2117441892623901,246.3922119140625
1.8596850633621216,204.6456756591797,1.7687844038009644,308.8746337890625
0.26944881677627563,6.503936767578125,0.2759743928909302,11.254066467285156
1.2516535520553589,138.59841918945312,1.2187371253967285,167.6334228515625
1.1269291639328003,353.251953125,1.2357689142227173,308.4613342285156
1.3763779401779175,210.1496124267578,1.259946584701538,208.2465362548828
1.7973228693008423,534.8818969726562,1.7621101140975952,527.4786987304688
1.5790550708770752,452.32281494140625,1.4721113443374634,350.7919006347656
0.3785826861858368,683.4881591796875,0.43591904640197754,654.8970336914062
1.2516535520553589,672.4802856445312,1.2955436706542969,630.5867309570312
1.3763779401779175,17.511810302734375,1.3775638341903687,-30.155466079711914
1.1892913579940796,490.85040283203125,1.3561474084854126,496.0487976074219
1.8440945148468018,474.3385925292969,1.8051146268844604,443.6346740722656
0.5033071041107178,78.05511474609375,0.4540272057056427,90.49939727783203
0.815118134021759,100.07086944580078,0.8091889023780823,138.70704650878906
1.7661417722702026,182.62994384765625,1.5571858882904053,247.7191925048828
1.017795443534851,551.3936767578125,1.030767798423767,668.0763549804688
0.33181101083755493,413.7952880859375,0.4085513651371002,449.66302490234375
1.3763779401779175,551.3936767578125,1.4979835748672485,417.40789794921875
1.0333858728408813,380.77166748046875,1.0849639177322388,389.70703125
1.8908661603927612,518.3700561523438,1.7319693565368652,518.6567993164062
1.0333858728408813,347.7480163574219,1.125601887702942,331.4579772949219
1.9220472574234009,353.251953125,1.2782480716705322,272.78057861328125
0.48771652579307556,677.9842529296875,0.7017775774002075,568.83740234375
0.42535433173179626,265.18896484375,0.5544630289077759,287.5665283203125
1.0957480669021606,353.251953125,1.6104899644851685,284.1995849609375
1.906456708908081,655.968505859375,1.6429660320281982,633.6360473632812
1.2204724550247192,265.18896484375,1.1296440362930298,265.55706787109375
0.03559055179357529,430.3070983886719,-0.00807938538491726,601.4591064453125
1.7817323207855225,17.511810302734375,1.5778650045394897,70.22258758544922
