#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
35;J0048+3412;NAN;NAN;NAN;49875.00;122.255;-28.666;12.14160282;34.20223077;1.217094;2.35e-15;39.92;0.00;2.30;NAN;NAN;4.500;-2.159;3.339;10.607;NAN;gb2,ar327,gb3,lotaas;
36;J0048-7317;NAN;NAN;NAN;NAN;303.181;-43.831;12.23416667;-73.29630556;0.079300;NAN;292.00;NAN;NAN;NAN;NAN;100.000;-69.253;-60.376;-30.981;EXGAL:SMC[cls+24],PWN:[cls+24];meerkat_trapum;
37;J0050+03;NAN;NAN;NAN;57022.00;122.485;-59.071;12.62916667;3.80000000;1.366560;NAN;26.50;NAN;NAN;NAN;NAN;25.000;-21.445;10.839;15.401;NAN;ar327,fast_gpps;
38;J0051+0423;NAN;NAN;NAN;NAN;122.962;-58.491;12.87541667;4.38027778;0.354732;7.00e-18;13.93;NAN;3.00;0.50;NAN;1.250;-1.066;0.548;8.855;NAN;gb4,ar327,gbncc,lotaas;
39;J0052-72;NAN;NAN;NAN;58008.54;302.913;-45.054;12.90208333;-72.07391667;0.191444;NAN;158.60;NAN;NAN;0.04;NAN;60.235;-42.633;-35.722;-14.622;EXGAL:SMC;misc;
40;J0054+66;NAN;NAN;NAN;54100.00;123.193;3.130;13.50000000;66.00000000;1.390000;NAN;15.00;NAN;NAN;NAN;NAN;0.901;0.049;0.753;8.993;NAN;gbt350;
41;J0054+6650;NAN;NAN;NAN;NAN;123.275;3.971;13.73094997;66.83993806;1.390217;5.55e-15;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;NAN;gbncc;
42;J0054+69;NAN;NAN;NAN;NAN;123.200;6.563;13.61666667;69.43333333;NAN;NAN;90.30;NAN;NAN;NAN;NAN;2.347;0.268;1.951;9.777;NAN;gbncc;
43;J0054+6946;NAN;NAN;NAN;56500.00;123.241;6.902;13.74631750;69.77134719;0.832911;7.19e-16;116.52;NAN;NAN;NAN;NAN;2.757;0.331;2.289;10.000;NAN;gbncc;
44;J0054-7228;NAN;NAN;NAN;NAN;302.565;-44.649;13.72625000;-72.47630556;0.290900;NAN;92.00;NAN;NAN;NAN;NAN;58.496;-41.109;-35.072;-13.900;EXGAL:SMC[cls+24];meerkat_trapum;
45;J0055+5117;10.470;-17.400;0.350;56000.00;123.621;-11.576;13.93915875;51.29016694;2.115171;9.54e-15;44.01;0.00;3.40;1.50;NAN;2.800;-0.562;2.284;10.019;NAN;gb2,lotaas;
46;J0056+4756;NAN;NAN;NAN;49872.00;123.796;-14.927;14.10630345;47.93626269;0.472037;3.33e-15;18.14;NAN;3.00;NAN;NAN;1.123;-0.289;0.902;9.104;NAN;gb2,lotaas;
47;J0057-7201;NAN;NAN;NAN;51213.00;302.244;-45.098;14.43333333;-72.02194444;0.738062;1.00e-16;27.00;NAN;NAN;NAN;NAN;3.475;-2.461;-2.075;7.191;NAN;misc;
48;J0058+4950;NAN;NAN;NAN;56500.00;124.045;-13.017;14.54162336;49.84055678;0.996023;8.04e-16;66.90;NAN;NAN;NAN;NAN;2.644;-0.596;2.135;9.942;NAN;gbncc,fast_gpps;
49;J0058+6125;NAN;NAN;NAN;54100.00;123.717;-1.445;14.50000000;61.41666667;0.637000;NAN;128.30;NAN;NAN;NAN;NAN;2.597;-0.065;2.159;9.941;NAN;gbt350,gbncc;
50;J0058-7218;NAN;NAN;NAN;58924.00;302.199;-44.817;14.56958333;-72.30166667;0.021766;2.89e-14;NAN;NAN;NAN;NAN;NAN;59.700;-42.079;-35.836;-14.066;EXGAL:SMC,XRS:PWN_IKT_16[met+21];misc;
51;J0059+69;NAN;NAN;NAN;NAN;123.629;7.056;14.87500000;69.91666667;1.145900;NAN;63.53;NAN;NAN;NAN;NAN;2.048;0.252;1.692;9.626;NAN;lotaas,gbncc;
52;J0100+8023;NAN;NAN;NAN;56676.00;123.318;17.530;15.06704167;80.39493056;1.493601;3.54e-16;56.01;NAN;NAN;NAN;NAN;2.847;0.858;2.269;9.991;NAN;lotaas;
53;J0100-7211;NAN;NAN;NAN;53032.00;301.930;-44.918;15.17929167;-72.19266667;8.020392;1.88e-11;NAN;NAN;NAN;NAN;NAN;59.700;-42.153;-35.878;-13.859;EXGAL:SMC,XRS:CXOU_J010043.1-721134;misc;
54;J0102+6537;9.240;1.770;0.400;56000.00;124.080;2.773;15.63746417;65.62039333;1.679164;5.95e-15;65.85;NAN;8.50;1.20;NAN;2.500;0.121;2.068;9.899;NAN;gb1,gb3,gbncc,lotaas;
55;J0103+54;NAN;NAN;NAN;56657.00;124.741;-8.796;15.90416667;54.03333333;0.354304;NAN;54.80;NAN;NAN;NAN;NAN;1.998;-0.306;1.623;9.625;NAN;gbncc,fast_gpps;
56;J0104+64;NAN;NAN;NAN;NAN;124.308;1.162;16.00000000;64.00000000;1.386000;NAN;44.60;NAN;NAN;NAN;NAN;1.711;0.035;1.413;9.464;NAN;gbncc;
57;J0105-7208;NAN;NAN;NAN;NAN;301.396;-44.938;16.40708333;-72.14816667;0.306700;NAN;120.00;NAN;NAN;NAN;NAN;59.953;-42.347;-36.225;-13.609;EXGAL:SMC[cls+24];meerkat_trapum;
58;J0106+4855;NAN;NAN;NAN;55225.00;125.465;-13.867;16.60441667;48.93105556;0.083157;4.28e-16;70.90;NAN;NAN;0.01;NAN;3.063;-0.734;2.422;10.225;GRS:4FGL_J0106.4+4855[aab+22];FermiBlind;
59;J0107+1322;NAN;NAN;NAN;NAN;128.991;-49.305;16.91645833;13.37547222;1.197383;6.87e-16;21.67;NAN;NAN;NAN;NAN;2.349;-1.781;1.190;9.464;NAN;lotaas,ar327,fast_gpps;
60;J0108+6608;-32.750;35.150;0.470;56000.00;124.646;3.328;17.09377042;66.14291639;1.283660;1.31e-14;30.55;0.00;10.00;0.90;NAN;2.140;0.124;1.758;9.715;NAN;jb1,gb1,gb2,lotaas;
61;J0108+6905;NAN;NAN;NAN;49875.00;124.461;6.277;17.12293293;69.09795221;1.071118;4.81e-17;61.06;NAN;3.70;0.40;NAN;1.981;0.217;1.624;9.614;NAN;gb2,gbncc,lotaas;
62;J0108-1431;75.000;-152.500;4.200;54100.00;140.930;-76.815;17.03477923;-14.53060753;0.807565;7.70e-17;2.38;NAN;9.00;1.40;NAN;0.210;-0.204;0.030;8.537;NAN;pks70;
63;J0109+11;NAN;NAN;NAN;NAN;129.793;-51.104;17.25000000;11.53333333;0.432700;NAN;17.00;NAN;NAN;NAN;NAN;1.566;-1.219;0.756;9.129;NAN;pumps;
64;J0110-22;NAN;NAN;NAN;NAN;163.377;-83.360;17.50000000;-22.00000000;1.262000;NAN;20.80;NAN;NAN;NAN;NAN;25.000;-24.832;0.827;11.270;NAN;gbncc;
65;J0110-2223;NAN;NAN;NAN;NAN;166.071;-83.626;17.56943451;-22.39953333;1.261960;6.21e-16;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;NAN;gbncc;
66;J0111+6624;NAN;NAN;NAN;56500.00;124.928;3.609;17.84115050;66.40299564;4.301872;8.36e-15;111.20;NAN;NAN;NAN;NAN;2.412;0.152;1.974;9.878;NAN;gbncc,misc;
