#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
11;B0021-72G;J0024-7204G;5.250;-2.550;0.232;51600.00;305.891;-44.893;6.03316792;-72.07769528;0.004040;-4.22e-20;24.43;0.700;NAN;NAN;NAN;NAN;NAN;4.520;2.556;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
12;B0021-72L;J0024-7204L;5.250;-2.550;0.232;51600.00;305.898;-44.888;6.01571708;-72.08247861;0.004346;-1.22e-19;24.40;0.700;NAN;NAN;NAN;NAN;NAN;4.520;2.547;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
13;B0021-72M;J0024-7204M;5.250;-2.550;0.232;51600.00;305.913;-44.877;5.97704125;-72.09187667;0.003677;-3.84e-20;24.43;1.200;NAN;NAN;NAN;NAN;NAN;4.520;2.552;-3.189;-2.594;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
14;B0021-72N;J0024-7204N;5.250;-2.550;0.232;51600.00;305.890;-44.897;6.03828333;-72.07469186;0.003054;-2.19e-20;24.56;NAN;NAN;NAN;NAN;NAN;NAN;4.520;2.585;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
15;J0024-7204Z;J0024-7204Z;5.250;-2.550;0.232;51600.00;305.894;-44.887;6.02517083;-72.08374444;0.004554;-4.54e-21;24.45;NAN;NAN;NAN;NAN;NAN;NAN;4.520;2.559;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;NAN;
16;J0024-7204aa;J0024-7204aa;5.250;-2.550;0.232;57022.00;305.895;-44.889;6.02362500;-72.08128333;0.001840;NAN;24.92;NAN;NAN;NAN;NAN;NAN;NAN;4.520;2.675;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];misc;NAN;
17;J0024-7204ab;J0024-7204ab;5.250;-2.550;0.232;51600.00;305.891;-44.891;6.03400625;-72.07988944;0.003705;9.82e-21;24.33;NAN;NAN;NAN;NAN;NAN;NAN;4.520;2.530;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];misc;NAN;
18;J0026+6320;J0026+6320;NAN;NAN;NAN;56675.00;120.176;0.593;6.71067083;63.33357500;0.318358;1.51e-16;245.06;8.100;48.000;0.00;NAN;1.00;NAN;6.619;6.619;0.069;5.722;11.827;NAN;misc,gbncc;NAN;
19;J0026-1955;J0026-1955;NAN;NAN;NAN;58880.50;83.291;-80.829;6.65000000;-19.93305556;1.306150;NAN;20.87;85.000;95.000;NAN;NAN;NAN;NAN;25.000;25.000;-24.680;3.957;8.034;NAN;gbncc,mwa_smart;NAN;
20;J0030+0451;J0030+0451;-6.150;0.370;3.090;55000.00;113.141;-57.611;7.61428447;4.86103063;0.004865;1.02e-20;4.33;NAN;NAN;NAN;7.90;1.09;0.63;0.324;0.345;-0.273;0.159;8.568;GRS:4FGL_J0030.4+0451[aab+22];misc,FermiBlind,gbncc,lotaas;HE[btlb00],HE[aaa+09e];
21;J0033+57;J0033+57;NAN;NAN;NAN;54100.00;120.410;-5.781;8.25000000;57.00000000;0.315000;NAN;75.65;8.600;19.000;NAN;NAN;NAN;NAN;2.251;2.251;-0.227;1.931;9.634;NAN;gbt350,gbncc,lotaas;NAN;
22;J0033+61;J0033+61;NAN;NAN;NAN;54100.00;120.698;-1.792;8.25000000;61.00000000;0.912000;NAN;37.70;16.000;26.000;NAN;NAN;NAN;NAN;1.654;1.654;-0.052;1.422;9.344;NAN;gbt350,gbncc,lotaas;NAN;
23;J0034+69;J0034+69;NAN;NAN;NAN;56292.00;121.411;6.896;8.50000000;69.71666667;0.036804;NAN;80.01;1.200;2.700;NAN;4.50;NAN;NAN;2.283;2.283;0.274;1.934;9.681;NAN;gbncc;NAN;
24;B0031-07;J0034-0721;10.370;-11.130;0.930;52275.00;110.420;-69.815;8.53695958;-7.36483583;0.942951;4.08e-16;10.92;53.000;120.000;0.00;52.00;11.00;NAN;1.030;0.996;-0.967;0.333;8.624;NAN;mol1,lotaas,pks70;NAN;
25;J0036-1033;J0036-1033;NAN;NAN;NAN;58774.00;110.033;-73.044;9.06254167;-10.55394444;0.900009;2.13e-16;23.10;15.000;NAN;NAN;1.00;NAN;NAN;25.000;25.000;-23.913;6.850;10.998;NAN;mwa_smart;NAN;
26;J0038-2501;J0038-2501;NAN;NAN;NAN;57474.00;67.413;-86.354;9.54276667;-25.02520278;0.256926;7.60e-19;5.71;14.000;15.000;NAN;NAN;NAN;NAN;0.604;0.604;-0.603;0.035;8.485;NAN;gbncc;NAN;
27;J0039+35;J0039+35;NAN;NAN;NAN;NAN;120.121;-27.054;9.77500000;35.75000000;0.536700;NAN;53.04;8.700;15.500;NAN;NAN;NAN;NAN;25.000;25.000;-11.371;19.258;19.673;NAN;lotaas,ar327;NAN;
28;B0037+56;J0040+5716;12.390;-5.400;0.110;56000.00;121.452;-5.567;10.13495792;57.27356472;1.118225;2.88e-15;92.52;12.200;24.400;NAN;7.50;0.60;NAN;2.420;2.420;-0.235;2.055;9.757;NAN;gb2,gbncc,lotaas;NAN;
29;J0040-7326;J0040-7326;NAN;NAN;NAN;NAN;304.018;-43.666;10.10125000;-73.43855556;0.398700;NAN;85.00;NAN;NAN;NAN;NAN;NAN;NAN;58.195;58.195;-40.181;-34.892;-15.051;EXGAL:SMC[cls+24];meerkat_trapum;NAN;
30;J0040-7335;J0040-7335;NAN;NAN;NAN;NAN;303.957;-43.508;10.22458333;-73.59927778;0.145200;NAN;199.00;NAN;NAN;NAN;NAN;NAN;NAN;61.200;61.200;-42.133;-36.817;-16.294;EXGAL:SMC[cls+24];meerkat_trapum;NAN;
31;J0040-7337;J0040-7337;NAN;NAN;NAN;NAN;303.964;-43.488;10.20250000;-73.61869444;0.059900;NAN;102.00;NAN;NAN;NAN;NAN;NAN;NAN;58.722;58.722;-40.413;-35.335;-15.302;EXGAL:SMC[cls+24],SNR:DEM;meerkat_trapum;NAN;
32;J0043-73;J0043-73;NAN;NAN;NAN;57990.69;303.741;-43.786;10.82333333;-73.32986111;0.937429;NAN;115.00;NAN;NAN;NAN;NAN;0.05;NAN;58.965;58.965;-40.802;-35.398;-15.144;EXGAL:SMC;misc;NAN;
33;J0044-7314;J0044-7314;NAN;NAN;NAN;NAN;303.579;-43.886;11.24250000;-73.23433333;0.396900;NAN;78.00;NAN;NAN;NAN;NAN;NAN;NAN;57.936;57.936;-40.163;-34.788;-14.595;EXGAL:SMC[cls+24];meerkat_trapum;NAN;
34;J0045-7042;J0045-7042;NAN;NAN;NAN;52407.00;303.652;-46.418;11.35704167;-70.70197222;0.632336;2.49e-15;71.30;20.000;NAN;NAN;NAN;0.06;NAN;59.700;58.576;-43.246;-34.260;-14.307;EXGAL:SMC;misc;NAN;
35;B0045+33;J0048+3412;NAN;NAN;NAN;49875.00;122.255;-28.666;12.14160282;34.20223077;1.217094;2.35e-15;39.92;18.400;33.900;0.00;2.30;NAN;NAN;4.500;4.500;-2.159;3.339;10.607;NAN;gb2,ar327,gb3,lotaas;NAN;
36;J0048-7317;J0048-7317;NAN;NAN;NAN;NAN;303.181;-43.831;12.23416667;-73.29630556;0.079300;NAN;292.00;NAN;NAN;NAN;NAN;NAN;NAN;100.000;100.000;-69.253;-60.376;-30.981;EXGAL:SMC[cls+24],PWN:[cls+24];meerkat_trapum;NAN;
37;J0050+03;J0050+03;NAN;NAN;NAN;57022.00;122.485;-59.071;12.62916667;3.80000000;1.366560;NAN;26.50;10.000;14.100;NAN;NAN;NAN;NAN;25.000;25.000;-21.445;10.839;15.401;NAN;ar327,fast_gpps;NAN;
38;J0051+0423;J0051+0423;NAN;NAN;NAN;NAN;122.962;-58.491;12.87541667;4.38027778;0.354732;7.00e-18;13.93;11.800;35.500;NAN;3.00;0.50;NAN;1.250;1.250;-1.066;0.548;8.855;NAN;gb4,ar327,gbncc,lotaas;NAN;
39;J0052-72;J0052-72;NAN;NAN;NAN;58008.54;302.913;-45.054;12.90208333;-72.07391667;0.191444;NAN;158.60;NAN;NAN;NAN;NAN;0.04;NAN;60.235;60.235;-42.633;-35.722;-14.622;EXGAL:SMC;misc;NAN;
40;J0054+66;J0054+66;NAN;NAN;NAN;54100.00;123.193;3.130;13.50000000;66.00000000;1.390000;NAN;15.00;NAN;NAN;NAN;NAN;NAN;NAN;0.901;0.901;0.049;0.753;8.993;NAN;gbt350;RRAT;
41;J0054+6650;J0054+6650;NAN;NAN;NAN;NAN;123.275;3.971;13.73094997;66.83993806;1.390217;5.55e-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;NAN;gbncc;NAN;
42;J0054+69;J0054+69;NAN;NAN;NAN;NAN;123.200;6.563;13.61666667;69.43333333;NAN;NAN;90.30;NAN;NAN;NAN;NAN;NAN;NAN;2.347;2.347;0.268;1.951;9.777;NAN;gbncc;RRAT[kkl+15];
43;J0054+6946;J0054+6946;NAN;NAN;NAN;56500.00;123.241;6.902;13.74631750;69.77134719;0.832911;7.19e-16;116.52;14.000;31.000;NAN;NAN;NAN;NAN;2.757;2.757;0.331;2.289;10.000;NAN;gbncc;NAN;
44;J0054-7228;J0054-7228;NAN;NAN;NAN;NAN;302.565;-44.649;13.72625000;-72.47630556;0.290900;NAN;92.00;NAN;NAN;NAN;NAN;NAN;NAN;58.496;58.496;-41.109;-35.072;-13.900;EXGAL:SMC[cls+24];meerkat_trapum;NAN;
45;B0052+51;J0055+5117;10.470;-17.400;0.350;56000.00;123.621;-11.576;13.93915875;51.29016694;2.115171;9.54e-15;44.01;73.000;92.100;0.00;3.40;1.50;NAN;2.800;1.935;-0.562;2.284;10.019;NAN;gb2,lotaas;NAN;
46;B0053+47;J0056+4756;NAN;NAN;NAN;49872.00;123.796;-14.927;14.10630345;47.93626269;0.472037;3.33e-15;18.14;11.800;31.300;NAN;3.00;NAN;NAN;1.123;1.123;-0.289;0.902;9.104;NAN;gb2,lotaas;NAN;
47;J0057-7201;J0057-7201;NAN;NAN;NAN;51213.00;302.244;-45.098;14.43333333;-72.02194444;0.738062;1.00e-16;27.00;NAN;NAN;NAN;NAN;NAN;NAN;3.475;3.475;-2.461;-2.075;7.191;NAN;misc;NAN;
48;J0058+4950;J0058+4950;NAN;NAN;NAN;56500.00;124.045;-13.017;14.54162336;49.84055678;0.996023;8.04e-16;66.90;11.100;16.800;NAN;NAN;NAN;NAN;2.644;2.644;-0.596;2.135;9.942;NAN;gbncc,fast_gpps;NAN;
49;J0058+6125;J0058+6125;NAN;NAN;NAN;54100.00;123.717;-1.445;14.50000000;61.41666667;0.637000;NAN;128.30;7.800;17.000;NAN;NAN;NAN;NAN;2.597;2.597;-0.065;2.159;9.941;NAN;gbt350,gbncc;NAN;
50;J0058-7218;J0058-7218;NAN;NAN;NAN;58924.00;302.199;-44.817;14.56958333;-72.30166667;0.021766;2.89e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;59.700;NAN;-42.079;-35.836;-14.066;EXGAL:SMC,XRS:PWN_IKT_16[met+21];misc;NRAD[met+21];
51;J0059+69;J0059+69;NAN;NAN;NAN;NAN;123.629;7.056;14.87500000;69.91666667;1.145900;NAN;63.53;12.000;60.000;NAN;NAN;NAN;NAN;2.048;2.048;0.252;1.692;9.626;NAN;lotaas,gbncc;NAN;
52;J0100+8023;J0100+8023;NAN;NAN;NAN;56676.00;123.318;17.530;15.06704167;80.39493056;1.493601;3.54e-16;56.01;8.010;67.000;NAN;NAN;NAN;NAN;2.847;2.847;0.858;2.269;9.991;NAN;lotaas;NAN;
53;J0100-7211;J0100-7211;NAN;NAN;NAN;53032.00;301.930;-44.918;15.17929167;-72.19266667;8.020392;1.88e-11;NAN;NAN;NAN;NAN;NAN;NAN;NAN;59.700;NAN;-42.153;-35.878;-13.859;EXGAL:SMC,XRS:CXOU_J010043.1-721134;misc;AXP,NRAD;
54;B0059+65;J0102+6537;9.240;1.770;0.400;56000.00;124.080;2.773;15.63746417;65.62039333;1.679164;5.95e-15;65.85;89.700;110.400;NAN;8.50;1.20;NAN;2.500;1.977;0.121;2.068;9.899;NAN;gb1,gb3,gbncc,lotaas;NAN;
55;J0103+54;J0103+54;NAN;NAN;NAN;56657.00;124.741;-8.796;15.90416667;54.03333333;0.354304;NAN;54.80;6.200;13.000;NAN;NAN;NAN;NAN;1.998;1.998;-0.306;1.623;9.625;NAN;gbncc,fast_gpps;RRAT[kkl+15];
56;J0104+64;J0104+64;NAN;NAN;NAN;NAN;124.308;1.162;16.00000000;64.00000000;1.386000;NAN;44.60;45.000;82.000;NAN;NAN;NAN;NAN;1.711;1.711;0.035;1.413;9.464;NAN;gbncc;NAN;
57;J0105-7208;J0105-7208;NAN;NAN;NAN;NAN;301.396;-44.938;16.40708333;-72.14816667;0.306700;NAN;120.00;NAN;NAN;NAN;NAN;NAN;NAN;59.953;59.953;-42.347;-36.225;-13.609;EXGAL:SMC[cls+24];meerkat_trapum;NAN;
58;J0106+4855;J0106+4855;NAN;NAN;NAN;55225.00;125.465;-13.867;16.60441667;48.93105556;0.083157;4.28e-16;70.90;NAN;NAN;NAN;NAN;0.01;NAN;3.063;3.063;-0.734;2.422;10.225;GRS:4FGL_J0106.4+4855[aab+22];FermiBlind;HE[aab+22];
59;J0107+1322;J0107+1322;NAN;NAN;NAN;NAN;128.991;-49.305;16.91645833;13.37547222;1.197383;6.87e-16;21.67;26.900;44.400;NAN;NAN;NAN;NAN;2.349;2.349;-1.781;1.190;9.464;NAN;lotaas,ar327,fast_gpps;NAN;
60;B0105+65;J0108+6608;-32.750;35.150;0.470;56000.00;124.646;3.328;17.09377042;66.14291639;1.283660;1.31e-14;30.55;22.500;54.900;0.00;10.00;0.90;NAN;2.140;1.461;0.124;1.758;9.715;NAN;jb1,gb1,gb2,lotaas;NAN;
61;B0105+68;J0108+6905;NAN;NAN;NAN;49875.00;124.461;6.277;17.12293293;69.09795221;1.071118;4.81e-17;61.06;12.000;65.000;NAN;3.70;0.40;NAN;1.981;1.981;0.217;1.624;9.614;NAN;gb2,gbncc,lotaas;NAN;
62;J0108-1431;J0108-1431;75.000;-152.500;4.200;54100.00;140.930;-76.815;17.03477923;-14.53060753;0.807565;7.70e-17;2.38;30.000;61.000;NAN;9.00;1.40;NAN;0.210;0.232;-0.204;0.030;8.537;NAN;pks70;NAN;
63;J0109+11;J0109+11;NAN;NAN;NAN;NAN;129.793;-51.104;17.25000000;11.53333333;0.432700;NAN;17.00;NAN;NAN;NAN;NAN;NAN;NAN;1.566;1.566;-1.219;0.756;9.129;NAN;pumps;NAN;
64;J0110-22;J0110-22;NAN;NAN;NAN;NAN;163.377;-83.360;17.50000000;-22.00000000;1.262000;NAN;20.80;43.000;64.000;NAN;NAN;NAN;NAN;25.000;25.000;-24.832;0.827;11.270;NAN;gbncc;NAN;
65;J0110-2223;J0110-2223;NAN;NAN;NAN;NAN;166.071;-83.626;17.56943451;-22.39953333;1.261960;6.21e-16;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;NAN;gbncc;NAN;
66;J0111+6624;J0111+6624;NAN;NAN;NAN;56500.00;124.928;3.609;17.84115050;66.40299564;4.301872;8.36e-15;111.20;33.000;87.000;NAN;NAN;NAN;NAN;2.412;2.412;0.152;1.974;9.878;NAN;gbncc,misc;NAN;
67;J0111-7131;J0111-7131;NAN;NAN;NAN;52369.00;300.669;-45.510;17.86987500;-71.52966667;0.688542;7.09e-15;79.40;15.000;NAN;NAN;NAN;0.04;NAN;59.700;59.325;-42.589;-35.985;-12.840;EXGAL:SMC;misc;NAN;
68;J0113-7220;J0113-7220;NAN;NAN;NAN;51212.00;300.615;-44.688;18.29620833;-72.34227778;0.325883;4.86e-15;125.49;4.500;12.000;NAN;NAN;0.19;NAN;59.700;60.998;-41.984;-36.527;-13.115;EXGAL:SMC;misc;NAN;
69;J0115+6325;J0115+6325;NAN;NAN;NAN;57876.00;125.648;0.687;18.94112500;63.43077778;0.521455;1.60e-15;65.07;22.000;NAN;NAN;NAN;NAN;NAN;1.931;1.931;0.023;1.569;9.625;NAN;lotaas;NAN;
70;B0114+58;J0117+5914;-3.316;18.083;NAN;49751.00;126.283;-3.457;19.41108846;59.24399732;0.101439;5.85e-15;49.42;4.100;8.300;0.00;7.60;0.30;NAN;1.768;1.768;-0.107;1.423;9.544;XRS:[pb15],GRS:[saa+23];gb3,FermiAssoc,gbncc,lotaas;HE[saa+23];
71;J0120+1837;J0120+1837;NAN;NAN;NAN;NAN;132.376;-43.711;20.05008754;18.63252691;1.313385;1.36e-17;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;NAN;gbncc;NAN;
72;J0121+53;J0121+53;NAN;NAN;NAN;NAN;127.378;-9.133;20.25000000;53.48333333;2.724785;NAN;91.38;20.000;NAN;NAN;NAN;NAN;NAN;2.644;2.644;-0.420;2.074;10.085;NAN;chime;RRAT[gac+21];
73;J0122+1416;J0122+1416;NAN;NAN;NAN;57876.00;134.030;-47.940;20.50545833;14.27138889;1.388994;3.80e-15;17.69;21.700;43.400;NAN;NAN;NAN;NAN;1.583;1.583;-1.175;0.762;9.237;NAN;misc,ar327,gbncc,lotaas,fast_gpps;NAN;
74;J0125+62;J0125+62;NAN;NAN;NAN;56292.00;126.899;-0.022;21.50000000;62.58333333;1.708230;NAN;118.00;17.000;61.000;NAN;3.40;NAN;NAN;2.403;2.403;-0.001;1.922;9.943;NAN;gbncc;NAN;
75;J0129+36;J0129+36;NAN;NAN;NAN;NAN;131.492;-26.155;22.37500000;36.08333333;1.089000;NAN;54.00;NAN;NAN;NAN;NAN;NAN;NAN;25.000;25.000;-11.020;16.809;23.367;NAN;pumps;NAN;
76;J0131-7310;J0131-7310;NAN;NAN;NAN;52335.00;298.944;-43.648;22.86879167;-73.16926111;0.348124;1.76e-15;205.22;4.400;NAN;NAN;NAN;0.06;NAN;59.700;100.000;-41.206;-37.803;-12.406;EXGAL:SMC;misc;NAN;
77;J0133-6957;J0133-6957;NAN;NAN;NAN;49980.20;297.691;-46.739;23.38525000;-69.95824444;0.463474;1.20e-16;22.95;4.500;18.000;NAN;5.00;0.18;NAN;2.441;2.441;-1.778;-1.481;7.723;NAN;pks70;NAN;
78;J0134-2937;J0134-2937;17.000;-9.000;NAN;54428.00;230.251;-80.250;23.57784333;-29.62140056;0.136962;7.84e-17;21.81;2.500;7.100;NAN;9.00;3.90;NAN;25.000;25.000;-24.639;-3.255;11.207;NAN;pks70;NAN;
79;J0137+1654;J0137+1654;NAN;NAN;NAN;NAN;138.449;-44.571;24.34950000;16.91169444;0.414763;1.22e-17;26.08;9.500;31.600;NAN;1.40;NAN;NAN;3.059;3.059;-2.147;1.445;10.131;NAN;ar4,ar327,lotaas;NAN;
80;J0137+6349;J0137+6349;NAN;NAN;NAN;56500.00;127.955;1.402;24.30569116;63.82620927;0.717963;9.60e-16;285.50;25.000;58.000;NAN;NAN;NAN;NAN;9.097;9.097;0.223;7.171;14.093;NAN;gbncc;NAN;
81;J0139+3336;J0139+3336;NAN;NAN;NAN;57901.00;134.381;-28.174;24.98845833;33.61658333;1.247961;2.06e-15;21.20;5.300;8.700;NAN;NAN;NAN;NAN;1.470;1.470;-0.694;0.926;9.406;NAN;misc,lotaas,fast_gpps;RRAT[ttm18];
82;J0139+5621;J0139+5621;NAN;NAN;NAN;56000.00;129.609;-5.885;24.91066667;56.36022222;1.775344;7.91e-14;101.84;36.000;63.000;NAN;0.70;0.02;NAN;2.410;2.410;-0.247;1.847;10.028;NAN;misc,gbncc,lotaas;NAN;
83;B0136+57;J0139+5814;-19.110;-16.600;0.370;52275.00;129.216;-4.044;24.83225042;58.24217194;0.272451;1.07e-14;73.81;5.200;9.600;0.00;28.00;4.60;NAN;2.600;2.006;-0.183;2.009;10.140;GRS:[saa+23];gb1,FermiAssoc,gb2,gb3,gb4,gbncc,lo;HE[saa+23];
84;B0138+59;J0141+6009;NAN;NAN;NAN;49293.00;129.147;-2.105;25.41640106;60.15897431;1.222949;3.91e-16;34.93;34.900;104.200;0.00;49.00;4.50;NAN;2.300;1.498;-0.084;1.783;9.951;NAN;misc,gb3,gb4,gbncc,lotaas;NAN;
85;J0141+63;J0141+63;NAN;NAN;NAN;56292.00;128.497;0.798;25.25000000;63.13333333;0.046686;NAN;272.80;2.200;4.900;NAN;1.30;NAN;NAN;8.774;8.774;0.122;6.866;13.961;NAN;gbncc;NAN;
86;J0141+6303;J0141+6303;NAN;NAN;NAN;57431.00;128.595;0.747;25.44066472;63.06373510;0.046680;1.65e-18;272.76;NAN;NAN;NAN;NAN;NAN;NAN;8.788;8.788;0.115;6.868;13.982;NAN;misc,gbncc;NAN;
87;J0146+31;J0146+31;NAN;NAN;NAN;57022.00;136.532;-30.353;26.56250000;31.06666667;0.938100;NAN;25.00;4.900;NAN;NAN;NAN;NAN;NAN;1.825;1.825;-0.922;1.083;9.643;NAN;misc,fast_gpps;NAN;
88;J0146+6145;J0146+6145;-4.100;1.900;NAN;49031.00;129.384;-0.431;26.59341667;61.75077778;8.688994;1.99e-12;NAN;NAN;NAN;NAN;NAN;NAN;NAN;3.600;NAN;-0.027;2.782;10.784;XRS:4U_0142+61;misc;AXP,NRAD;
89;B0144+59;J0147+5922;-6.390;3.800;0.470;56000.00;130.059;-2.723;26.93601417;59.36757889;0.196321;2.57e-16;40.11;7.000;10.100;0.00;6.60;2.10;NAN;1.900;1.578;-0.090;1.453;9.721;NAN;gb3,lotaas;NAN;
90;J0149+29;J0149+29;NAN;NAN;NAN;NAN;137.766;-32.042;27.25000000;29.16666667;2.654000;NAN;35.00;NAN;NAN;NAN;NAN;NAN;NAN;3.256;3.256;-1.727;1.855;10.544;NAN;pumps;NAN;
91;B0148-06;J0151-0635;10.700;-5.380;0.230;56000.00;160.368;-65.004;27.84465792;-6.58416306;1.464665;4.43e-16;25.66;122.000;149.000;NAN;38.00;1.60;NAN;25.000;25.000;-22.658;3.549;18.450;NAN;mol2,pks70;NAN;
92;J0152+0948;J0152+0948;NAN;NAN;NAN;NAN;146.812;-50.221;28.09887500;9.80277778;2.746647;1.70e-15;22.88;38.900;123.400;NAN;0.91;NAN;NAN;2.476;2.476;-1.903;0.867;9.826;NAN;ar4,ar327;NAN;
93;B0149-16;J0152-1637;0.800;-31.300;0.500;56000.00;179.306;-72.457;28.04522458;-16.63156694;0.832742;1.30e-15;11.93;16.000;24.000;NAN;20.00;2.10;NAN;0.920;0.920;-0.877;0.003;8.777;NAN;mol2,pks70;NAN;
94;J0154+1833;J0154+1833;10.300;-8.900;NAN;56900.00;143.185;-41.810;28.65367804;18.56409944;0.002365;2.92e-21;19.80;0.200;0.300;NAN;NAN;0.11;NAN;1.623;1.623;-1.082;0.725;9.468;GRS:[saa+23];ar327,FermiAssoc;HE[saa+23];
95;J0156+04;J0156+04;NAN;NAN;NAN;NAN;151.975;-55.155;29.00416667;4.03333333;NAN;NAN;27.50;3.800;NAN;NAN;NAN;NAN;NAN;25.000;25.000;-20.517;6.711;21.109;NAN;ar327;RRAT[dsm+16];
96;B0153+39;J0156+3949;NAN;NAN;NAN;49701.00;136.369;-21.332;29.23019206;39.82459228;1.811561;1.52e-16;59.83;99.000;160.000;NAN;4.00;NAN;NAN;4.920;4.920;-1.790;3.162;11.817;NAN;gb2,gbncc,lotaas;NAN;
97;B0154+61;J0157+6212;1.570;44.800;0.560;56000.00;130.586;0.326;29.45809750;62.20740222;2.351745;1.89e-13;30.21;33.400;118.900;0.00;6.50;1.90;NAN;1.820;1.385;0.010;1.382;9.684;NAN;jb1,gb3,gbncc,lotaas;NAN;
