#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
1073;J1644-46;NAN;NAN;NAN;50839.00;338.773;-0.393;251.02500000;-46.43333333;0.250941;NAN;405.80;NAN;NAN;0.80;NAN;4.284;-0.029;-1.551;4.507;NAN;pksmb;
1074;J1644-4657;NAN;NAN;NAN;54835.10;338.435;-0.808;251.16041667;-46.96055556;0.125962;7.50e-16;718.00;NAN;NAN;0.59;NAN;6.749;-0.095;-2.480;2.224;NAN;pksmb,htru_pks;
1075;J1645-0317;-1.035;20.500;0.260;46515.00;14.114;26.062;251.25850250;-3.29939417;0.387690;1.78e-15;35.76;0.00;393.00;11.50;NAN;3.846;1.690;0.843;5.149;NAN;misc,mol1,mol2,gb2,gb3,pks70,pkssw,;
1076;J1645+1012;NAN;NAN;NAN;48957.50;27.719;32.548;251.39339583;10.20445556;0.410861;8.13e-17;36.17;NAN;2.30;NAN;NAN;3.914;2.106;1.535;5.579;NAN;ar4,lotaas;
1077;J1646-4308;NAN;NAN;NAN;51757.00;341.603;1.374;251.73041667;-43.13527778;0.840680;1.10e-16;595.00;NAN;NAN;0.33;NAN;16.160;0.388;-5.099;-6.830;NAN;pksmb,htru_pks;
1078;J1646-4346;NAN;NAN;NAN;48657.80;341.105;0.968;251.71375000;-43.77722222;0.231603;1.13e-13;490.40;0.02;NAN;1.25;NAN;6.226;0.105;-2.016;2.610;SNR:G341.2+0.9(?)[fgw94];pks1,pksmb,htru_pks;
1079;J1646-5123;NAN;NAN;NAN;52906.00;335.276;-3.929;251.65145833;-51.38738889;0.530075;2.10e-15;279.00;NAN;NAN;0.17;NAN;10.974;-0.752;-4.579;-1.445;NAN;pksmb;
1080;J1646-6831;NAN;NAN;NAN;57600.00;321.842;-14.830;251.72879167;-68.53102778;1.785613;1.70e-15;43.00;NAN;23.00;4.90;NAN;1.245;-0.319;-0.744;7.554;NAN;mol2,pks70,pkssw,htru_pks;
1081;J1647-3607;NAN;NAN;NAN;54984.00;347.084;5.773;251.94379167;-36.11777778;0.212316;1.29e-16;224.00;NAN;NAN;0.20;NAN;15.937;1.603;-3.544;-6.955;NAN;pkssw,htru_pks;
1082;J1647-4552;NAN;NAN;NAN;54008.00;339.546;-0.431;251.79250000;-45.87133333;10.610656;8.33e-13;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;XRS:CXO_J164710.2-455216;misc;
1083;J1647+6608;NAN;NAN;NAN;56500.00;97.180;37.034;251.88550721;66.13951249;1.599798;7.84e-15;22.55;NAN;NAN;NAN;NAN;2.061;1.241;1.632;8.706;NAN;gbncc,lotaas;
1084;J1648-3256;NAN;NAN;NAN;49411.80;349.586;7.749;252.02529167;-32.94466667;0.719455;3.53e-15;128.28;0.00;11.00;0.70;NAN;6.729;0.907;-1.205;1.942;NAN;pks70,pkssw,htru_pks;
1085;J1648-4458;NAN;NAN;NAN;51590.00;340.349;0.009;252.05416667;-44.97388889;0.629632;1.85e-15;925.00;NAN;NAN;0.55;NAN;5.518;0.001;-1.856;3.303;NAN;pksmb,htru_pks;
1086;J1648-4611;NAN;NAN;NAN;55395.00;339.438;-0.794;252.09184583;-46.18770833;0.164958;2.37e-14;392.30;NAN;NAN;0.61;NAN;4.468;-0.062;-1.569;4.317;GRS:2FGL_J1648.4-4612(?)[naa+12];pksmb,htru_pks;
1087;J1648-6044;NAN;NAN;NAN;55222.00;328.220;-10.141;252.21345833;-60.74041667;0.583765;4.29e-16;106.20;NAN;NAN;0.70;NAN;5.567;-0.980;-2.886;3.842;NAN;htru_pks;
1088;J1649+2533;NAN;NAN;NAN;51825.00;45.648;37.107;252.43429167;25.55194444;1.015257;5.59e-16;34.46;NAN;7.40;NAN;NAN;25.000;15.082;14.257;-5.438;NAN;ar4,lotaas;
1089;J1649-3805;NAN;NAN;NAN;52885.00;345.815;4.194;252.45092500;-38.09975000;0.262026;3.67e-17;213.80;NAN;NAN;1.60;NAN;8.839;0.647;-2.160;-0.047;NAN;pksmb,htru_pks;
1090;J1649-3935;NAN;NAN;NAN;55985.00;344.577;3.341;252.27783333;-39.59561111;0.770910;3.91e-17;290.00;NAN;NAN;0.05;NAN;13.459;0.784;-3.573;-4.452;NAN;htru_pks;
1091;J1649-4349;NAN;NAN;NAN;51243.00;341.360;0.596;252.33508333;-43.82283333;0.870712;4.40e-17;398.60;NAN;NAN;0.75;NAN;4.408;0.046;-1.409;4.323;NAN;pksmb,htru_pks;
1092;J1649-4653;NAN;NAN;NAN;55360.00;339.019;-1.380;252.35254167;-46.88591667;0.557036;4.96e-14;331.00;NAN;NAN;0.37;NAN;4.964;-0.120;-1.777;3.866;NAN;pksmb,htru_pks;
1093;J1649-4729;NAN;NAN;NAN;51157.00;338.538;-1.759;252.32612500;-47.49805556;0.297692;6.55e-15;540.20;NAN;NAN;0.29;NAN;14.320;-0.440;-5.237;-4.821;NAN;pksmb,htru_pks;
1094;J1649-5553;NAN;NAN;NAN;51650.00;332.077;-7.148;252.37958333;-55.89444444;0.613571;1.70e-15;180.40;NAN;NAN;1.40;NAN;11.604;-1.444;-5.392;-1.673;NAN;pkssw,htru_pks;
1095;J1650-1654;-15.070;-6.550;NAN;50862.00;2.856;17.234;252.61320583;-16.91174500;1.749552;3.20e-15;43.25;NAN;13.00;1.10;NAN;1.055;0.313;0.050;7.494;NAN;pks70;
1096;J1650-4126;NAN;NAN;NAN;51685.00;343.291;1.997;252.55489167;-41.44272222;0.308918;1.98e-17;251.50;NAN;NAN;0.29;NAN;4.869;0.170;-1.399;3.839;NAN;pksmb,htru_pks;
1097;J1650-4341;NAN;NAN;NAN;51737.00;341.623;0.485;252.68616667;-43.69188889;0.309398;1.67e-17;673.00;NAN;NAN;0.26;NAN;5.343;0.045;-1.684;3.430;NAN;pksmb,htru_pks;
1098;J1650-4502;NAN;NAN;NAN;51118.00;340.559;-0.351;252.63458333;-45.04369444;0.380870;1.61e-14;320.20;NAN;NAN;0.61;NAN;3.918;-0.024;-1.304;4.805;NAN;pksmb,htru_pks;
1099;J1650-4601;NAN;NAN;NAN;55716.00;339.782;-0.946;252.57758333;-46.02183333;0.127123;1.51e-14;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:3FGL_J1650.3-4600[aaa+15];FermiBlind;
1100;J1650-4921;NAN;NAN;NAN;55599.00;337.248;-3.108;252.64628750;-49.35104444;0.156400;1.82e-15;229.30;NAN;NAN;0.29;NAN;5.307;-0.288;-2.049;3.613;NAN;pksmb,htru_pks;
1101;J1651+14;NAN;NAN;NAN;NAN;32.880;33.069;252.75000000;14.36666667;0.828000;NAN;48.00;NAN;NAN;NAN;NAN;25.000;13.641;11.374;-9.094;NAN;misc;
1102;J1651-1709;NAN;NAN;NAN;50027.00;2.810;16.882;252.88230300;-17.15614106;0.973394;3.04e-15;33.46;NAN;9.00;0.30;NAN;0.836;0.243;0.039;7.701;NAN;mol2,gb2,gb3,pks70;
1103;J1651-4246;NAN;NAN;NAN;57600.00;342.458;0.923;252.95332083;-42.76943611;0.844081;4.75e-15;482.00;NAN;100.00;21.40;NAN;5.200;0.084;-1.567;3.542;NAN;mol2,pks1,pks70,pksmb,htru_pks;
1104;J1651-4519;NAN;NAN;NAN;51399.00;340.506;-0.719;252.98833333;-45.31972222;0.517443;8.19e-15;562.00;NAN;NAN;0.54;NAN;5.061;-0.063;-1.689;3.729;NAN;pksmb,htru_pks;
1105;J1651-5222;NAN;NAN;NAN;57600.00;335.014;-5.172;252.92900833;-52.38288333;0.635058;1.81e-15;179.10;0.00;23.00;4.10;NAN;6.284;-0.566;-2.644;2.827;NAN;mol2,pks70,pkssw,pksmb,htru_pks;
1106;J1651-5255;NAN;NAN;NAN;57600.00;334.586;-5.515;252.92254167;-52.92991667;0.890537;2.12e-15;164.00;NAN;12.00;3.30;NAN;5.809;-0.558;-2.481;3.277;NAN;mol2,pkssw,htru_pks;
1107;J1651-7642;NAN;NAN;NAN;53000.00;315.149;-19.953;252.78279167;-76.71097222;1.755311;1.36e-15;80.00;NAN;NAN;0.70;NAN;9.228;-3.149;-6.118;2.351;NAN;pkssw;
1108;J1652-1400;NAN;NAN;NAN;53000.00;5.599;18.581;253.06948750;-14.00761111;0.305447;1.76e-17;49.50;NAN;NAN;0.40;NAN;0.598;0.191;0.055;7.936;NAN;pkssw;
1109;J1652-2404;NAN;NAN;NAN;48742.00;357.315;12.454;253.24387329;-24.06413041;1.703739;3.16e-15;68.41;NAN;9.20;1.60;NAN;3.369;0.727;-0.154;5.214;NAN;mol2,pks70,pkssw,htru_pks;
1110;J1652+2651;NAN;NAN;NAN;51739.00;47.402;36.954;253.01279167;26.86122222;0.915803;6.54e-16;40.80;0.00;11.30;NAN;NAN;25.000;15.029;14.706;-5.022;NAN;ar4,gb4,lotaas;
1111;J1652-4406;NAN;NAN;NAN;54947.00;341.564;-0.088;253.24791667;-44.10138889;7.707183;9.50e-15;786.00;NAN;NAN;NAN;NAN;5.108;-0.008;-1.615;3.654;NAN;pksmb,htru_pks;
1112;J1652-48;NAN;NAN;NAN;51373.30;337.954;-3.019;253.22500000;-48.75000000;0.003785;NAN;187.80;NAN;NAN;2.70;NAN;4.386;-0.231;-1.644;4.440;NAN;pksmb;
1113;J1653-3838;NAN;NAN;NAN;48360.50;345.878;3.268;253.41582500;-38.63911111;0.305037;2.79e-15;207.20;0.00;NAN;2.00;NAN;5.440;0.310;-1.325;3.233;NAN;pks1,pksmb,htru_pks;
1114;J1653-4030;NAN;NAN;NAN;53139.00;344.422;2.107;253.39262500;-40.50038889;1.019372;4.36e-16;425.00;NAN;NAN;0.40;NAN;17.188;0.632;-4.613;-8.045;NAN;pksmb,htru_pks;
1115;J1653-4105;NAN;NAN;NAN;57883.00;343.946;1.756;253.35572500;-41.09044444;0.498978;5.41e-17;419.40;NAN;NAN;0.27;NAN;14.022;0.430;-3.876;-4.969;NAN;htru_pks;
1116;J1653-4249;NAN;NAN;NAN;51118.00;342.636;0.629;253.41758333;-42.81758333;0.612558;4.81e-15;416.10;NAN;NAN;1.50;NAN;4.475;0.049;-1.335;4.229;NAN;pksmb,htru_pks;
1117;J1653-4315;NAN;NAN;NAN;51587.00;342.281;0.380;253.37375000;-43.25027778;0.419280;1.50e-17;337.00;NAN;NAN;0.53;NAN;4.004;0.027;-1.219;4.686;NAN;pksmb,htru_pks;
1118;J1653-4854;NAN;NAN;NAN;51708.00;337.936;-3.256;253.48625000;-48.91416667;3.059510;3.45e-15;354.00;NAN;NAN;0.18;NAN;15.188;-0.863;-5.696;-5.553;NAN;pksmb,htru_pks;
1119;J1654-23;NAN;NAN;NAN;55261.00;357.859;12.552;253.51250000;-23.58333333;0.545360;NAN;74.50;NAN;NAN;NAN;NAN;4.071;0.885;-0.148;4.529;NAN;pkssw;
1120;J1654-26;NAN;NAN;NAN;54793.00;355.499;10.601;253.66250000;-26.60500000;1.623730;NAN;129.00;NAN;NAN;NAN;NAN;12.185;2.242;-0.940;-3.440;NAN;htru_pks;
1121;J1654-2713;NAN;NAN;NAN;51002.00;354.972;10.271;253.59844778;-27.21710208;0.791822;1.68e-16;92.31;NAN;9.00;0.30;NAN;4.942;0.881;-0.426;3.656;NAN;pks70;
1122;J1654-3710;NAN;NAN;NAN;53131.00;347.147;4.018;253.68510833;-37.18252778;0.939165;7.35e-16;302.00;NAN;NAN;0.22;NAN;19.006;1.332;-4.217;-9.984;NAN;pksmb,htru_pks;
1123;J1654-4140;NAN;NAN;NAN;51399.00;343.609;1.247;253.59791667;-41.67333333;1.273945;1.30e-16;307.00;NAN;NAN;0.71;NAN;4.645;0.101;-1.310;4.045;NAN;pksmb,htru_pks;
1124;J1654-4245;NAN;NAN;NAN;54024.20;342.761;0.565;253.59200000;-42.76083333;1.101555;5.12e-14;950.00;NAN;NAN;0.14;NAN;10.606;0.105;-3.143;-1.629;NAN;pksmb;
1125;J1655-3048;NAN;NAN;NAN;51500.00;352.245;7.880;253.85220833;-30.81166667;0.542936;3.66e-17;154.30;NAN;NAN;2.20;NAN;10.705;1.468;-1.431;-2.007;NAN;pkssw,htru_pks;
1126;J1655-3844;NAN;NAN;NAN;54863.30;346.046;2.906;253.91108333;-38.73583333;1.193439;2.00e-15;365.00;NAN;NAN;0.25;NAN;19.040;0.965;-4.585;-9.954;NAN;pksmb,htru_pks;
1127;J1656+00;NAN;NAN;NAN;57022.00;19.336;25.510;254.17083333;0.43333333;1.497850;NAN;46.90;NAN;NAN;NAN;NAN;3.940;1.697;1.177;5.145;NAN;ar327;
1128;J1656-3621;NAN;NAN;NAN;53123.00;348.013;4.245;254.13731250;-36.36658333;0.730134;1.28e-15;229.00;NAN;NAN;0.29;NAN;10.733;0.794;-2.223;-1.970;NAN;pksmb,htru_pks;
1129;J1656+6203;NAN;NAN;NAN;57652.00;91.938;37.144;254.04287500;62.06400278;0.776155;8.44e-16;35.26;NAN;NAN;NAN;NAN;25.000;15.095;19.917;9.174;NAN;lotaas;
1130;J1657+3304;NAN;NAN;NAN;57927.00;55.344;37.124;254.46117500;33.07601389;1.570276;1.73e-15;23.97;NAN;NAN;NAN;NAN;2.366;1.428;1.552;7.427;NAN;misc,lotaas;
1131;J1657-4432;NAN;NAN;NAN;51685.00;341.743;-1.006;254.40304167;-44.53888889;0.609607;8.20e-15;375.30;NAN;NAN;0.38;NAN;4.558;-0.080;-1.428;4.172;NAN;pksmb,htru_pks;
1132;J1658-4306;NAN;NAN;NAN;51451.00;342.933;-0.214;254.56916667;-43.11388889;1.166449;4.28e-14;845.00;NAN;NAN;0.80;NAN;5.254;-0.020;-1.542;3.477;NAN;pksmb,htru_pks;
1133;J1658-47;NAN;NAN;NAN;56657.00;339.742;-2.767;254.60000000;-47.20000000;0.369365;NAN;533.00;NAN;NAN;0.18;NAN;23.425;-1.131;-8.102;-13.450;NAN;htru_pks;
1134;J1658-4958;NAN;NAN;NAN;52146.00;337.602;-4.554;254.72883333;-49.98288889;0.416874;3.86e-15;193.40;NAN;NAN;1.60;NAN;6.107;-0.485;-2.320;2.872;NAN;pksmb,htru_pks;
1135;J1658-5324;0.200;4.900;NAN;55520.00;334.869;-6.625;254.66393162;-53.40194528;0.002439;1.12e-20;30.81;NAN;NAN;0.70;NAN;0.880;-0.102;-0.371;7.709;GRS:3FGL_J1658.4-5323[aaa+15],XRS:[pb15];FermiAssoc;
1136;J1659-1305;NAN;NAN;NAN;49725.00;7.507;17.592;254.97119792;-13.08583042;0.640958;6.18e-16;60.37;NAN;6.30;NAN;NAN;0.485;0.147;0.060;8.042;NAN;gb2,pks70;
1137;J1659-4316;NAN;NAN;NAN;51527.00;343.000;-0.547;254.98491667;-43.26833333;0.474381;1.71e-16;640.90;NAN;NAN;0.21;NAN;4.986;-0.048;-1.458;3.732;NAN;pksmb,htru_pks;
1138;J1659-4439;NAN;NAN;NAN;51685.00;341.881;-1.361;254.91433333;-44.65027778;0.353293;2.50e-17;535.00;NAN;NAN;0.42;NAN;12.689;-0.301;-3.945;-3.556;NAN;pksmb,htru_pks;
1139;J1659-54;NAN;NAN;NAN;58196.80;334.459;-7.077;254.84583333;-54.00000000;0.544573;NAN;134.00;NAN;NAN;NAN;NAN;5.658;-0.697;-2.421;3.434;NAN;misc;
1140;J1700-3312;NAN;NAN;NAN;50856.00;351.055;5.489;255.22075537;-33.21291686;1.358307;4.71e-15;166.97;0.00;21.00;1.60;NAN;7.386;0.706;-1.143;1.237;NAN;pks70,pkssw,pksmb,htru_pks;
1141;J1700-3611;NAN;NAN;NAN;52828.00;348.679;3.672;255.20550000;-36.19805556;1.494091;4.32e-15;232.70;NAN;NAN;0.80;NAN;9.288;0.595;-1.820;-0.589;NAN;pksmb,htru_pks;
1142;J1700-3919;NAN;NAN;NAN;52025.00;346.161;1.826;255.09279167;-39.31667222;0.560504;5.03e-18;354.30;NAN;NAN;0.23;NAN;11.634;0.371;-2.781;-2.791;NAN;pksmb,htru_pks;
1143;J1700-4012;NAN;NAN;NAN;53105.00;345.488;1.234;255.16062500;-40.21072222;0.283792;9.91e-17;385.00;NAN;NAN;0.13;NAN;6.699;0.144;-1.678;2.016;NAN;pksmb,htru_pks;
1144;J1700-4422;NAN;NAN;NAN;55065.00;342.235;-1.364;255.22362500;-44.37416667;0.755535;4.00e-17;425.00;NAN;NAN;0.30;NAN;7.743;-0.184;-2.362;1.128;NAN;htru_pks;
1145;J1700-4939;NAN;NAN;NAN;51709.00;338.008;-4.538;255.09400000;-49.65416667;0.578363;1.08e-15;278.00;NAN;NAN;0.17;NAN;15.418;-1.220;-5.756;-5.751;NAN;pksmb;
1146;J1701-3130;NAN;NAN;NAN;51500.00;352.523;6.384;255.43130417;-31.51019444;0.291341;5.60e-17;130.73;NAN;NAN;NAN;NAN;5.251;0.584;-0.679;3.326;NAN;pkssw,htru_pks;
1147;J1701-3726;NAN;NAN;NAN;57600.00;347.755;2.833;255.32687500;-37.44088889;2.454618;1.11e-14;303.40;0.01;NAN;4.10;NAN;12.947;0.640;-2.743;-4.137;NAN;pks1,pksmb,htru_pks;
1148;J1701-4533;NAN;NAN;NAN;48360.70;341.360;-2.177;255.37147500;-45.56352778;0.322909;5.19e-16;526.00;0.01;NAN;3.10;NAN;19.589;-0.744;-6.257;-10.048;NAN;pks1,pksmb,htru_pks;
1149;J1701-4958;NAN;NAN;NAN;54844.60;337.835;-4.841;255.30345833;-49.97583333;0.804304;1.10e-16;230.00;NAN;NAN;0.26;NAN;10.823;-0.913;-4.069;-1.487;NAN;pksmb;
1150;J1702-3932;NAN;NAN;NAN;51709.00;346.203;1.401;255.55983333;-39.54444444;0.390328;3.78e-16;530.00;NAN;NAN;0.30;NAN;15.190;0.371;-3.622;-6.247;NAN;pksmb,htru_pks;
1151;J1702-4128;NAN;NAN;NAN;51530.00;344.744;0.123;255.71883333;-41.48005556;0.182136;5.23e-14;367.10;NAN;NAN;1.17;NAN;3.971;0.008;-1.045;4.669;NAN;pksmb,htru_pks;
1152;J1702-4217;NAN;NAN;NAN;51895.00;344.078;-0.329;255.65183333;-42.28366667;0.227565;1.14e-17;629.00;NAN;NAN;0.50;NAN;4.715;-0.027;-1.293;3.966;NAN;pksmb,htru_pks;
1153;J1702-4306;NAN;NAN;NAN;55560.00;343.405;-0.814;255.61400000;-43.11252778;0.215508;9.78e-15;538.40;NAN;NAN;0.46;NAN;5.047;-0.072;-1.441;3.664;NAN;pksmb,htru_pks;
1154;J1702-4310;NAN;NAN;NAN;51597.00;343.352;-0.852;255.61225000;-43.17777778;0.240524;2.24e-13;377.60;NAN;NAN;0.92;NAN;4.326;-0.064;-1.239;4.356;NAN;pksmb,htru_pks;
1155;J1702-4428;NAN;NAN;NAN;51400.00;342.378;-1.701;255.71916667;-44.46750000;2.123506;3.30e-15;395.00;NAN;NAN;0.38;NAN;11.151;-0.331;-3.374;-2.123;NAN;pksmb,htru_pks;
1156;J1703-18;NAN;NAN;NAN;55064.00;3.133;13.616;255.85833333;-18.81500000;1.270240;NAN;46.00;NAN;NAN;NAN;NAN;1.416;0.333;0.075;7.126;NAN;htru_pks;
1157;J1703-1846;-0.730;16.920;0.350;49905.00;3.229;13.561;255.96288125;-18.77079028;0.804341;1.73e-15;49.55;NAN;11.00;0.70;NAN;2.857;0.670;0.156;5.727;NAN;mol1,mol2,pks70,pkssw;
1158;J1703-3241;NAN;NAN;NAN;50005.00;351.786;5.387;255.84392038;-32.69667568;1.211785;6.60e-16;110.31;0.00;32.00;8.70;NAN;3.167;0.297;-0.450;5.379;NAN;jb1,mol2,pks70,pksmb,htru_pks;
1159;J1703-38;NAN;NAN;NAN;54999.00;347.410;2.037;255.85833333;-38.20000000;6.443000;NAN;375.00;NAN;NAN;NAN;NAN;14.170;0.504;-3.087;-5.321;NAN;pksmb;
1160;J1703-4442;NAN;NAN;NAN;51708.00;342.235;-1.916;255.83579167;-44.71166667;1.747293;1.43e-14;280.20;NAN;NAN;0.21;NAN;5.224;-0.175;-1.593;3.528;NAN;pksmb,htru_pks;
1161;J1703-4851;NAN;NAN;NAN;57600.00;338.986;-4.515;255.97725417;-48.86695556;1.396405;5.07e-15;150.29;0.00;22.00;1.40;NAN;4.114;-0.324;-1.471;4.672;NAN;pks70,pksmb;
1162;J1704-3756;NAN;NAN;NAN;57650.00;347.795;1.953;256.23944167;-37.94525000;0.305234;1.13e-14;405.70;NAN;NAN;0.13;NAN;15.245;0.520;-3.221;-6.392;NAN;htru_pks;
1163;J1704-5236;NAN;NAN;NAN;56108.00;336.051;-6.869;256.16903750;-52.61594444;0.230708;5.20e-17;170.00;NAN;NAN;0.60;NAN;9.485;-1.134;-3.823;-0.106;NAN;htru_pks;
1164;J1704-6016;NAN;NAN;NAN;43557.01;329.762;-11.367;256.06166667;-60.28166667;0.306323;9.10e-16;54.00;NAN;23.00;NAN;NAN;1.589;-0.313;-0.785;7.154;NAN;mol2,pks70;
1165;J1705-04;NAN;NAN;NAN;56657.00;15.709;21.105;256.25000000;-4.68333333;0.237480;NAN;42.95;NAN;NAN;NAN;NAN;0.210;0.076;0.053;8.311;NAN;gb350;
1166;J1705-1903;NAN;NAN;NAN;55307.00;3.148;13.042;256.36250000;-19.13444444;0.002480;NAN;58.00;NAN;NAN;NAN;NAN;2.395;0.540;0.128;6.170;NAN;htru_pks;
1167;J1705-1906;-77.000;-52.000;NAN;48733.00;3.189;13.026;256.40041557;-19.11073499;0.298987;4.14e-15;22.91;NAN;29.00;9.30;NAN;0.747;0.168;0.040;7.773;GRS:[hsg+14];mol2,pks70,pkssw,htru_pks;
1168;J1705-3423;NAN;NAN;NAN;57600.00;350.721;3.975;256.42650833;-34.39530556;0.255427;1.08e-15;146.36;0.00;31.00;5.30;NAN;3.841;0.266;-0.618;4.718;NAN;pks70,pksmb,htru_pks;
1169;J1705-3936;NAN;NAN;NAN;51400.00;346.548;0.845;256.40458333;-39.60805556;0.854482;1.93e-14;598.00;NAN;NAN;0.33;NAN;9.673;0.143;-2.250;-0.907;NAN;pksmb,htru_pks;
1170;J1705-3950;NAN;NAN;NAN;51587.00;346.341;0.718;256.37433333;-39.84972222;0.318941;6.06e-14;207.25;0.00;NAN;1.60;NAN;3.426;0.043;-0.809;5.171;NAN;pksmb,htru_pks;
1171;J1705-4108;NAN;NAN;NAN;51505.00;345.291;-0.042;256.33500000;-41.14555556;0.861067;3.47e-14;1077.00;NAN;NAN;1.30;NAN;5.969;-0.004;-1.516;2.727;NAN;pksmb,htru_pks;
1172;J1705-4331;NAN;NAN;NAN;54986.00;343.428;-1.515;256.39964167;-43.52044444;0.222561;7.12e-17;185.24;NAN;NAN;0.40;NAN;3.441;-0.091;-0.981;5.203;NAN;htru_pks;
1173;J1705-6135;NAN;NAN;NAN;54896.00;328.751;-12.228;256.31375000;-61.58750000;0.808546;6.00e-17;95.00;NAN;NAN;0.40;NAN;5.577;-1.181;-2.827;3.840;NAN;htru_pks;
1174;J1706-3839;NAN;NAN;NAN;51510.00;347.387;1.301;256.58875000;-38.66416667;0.586287;3.00e-15;626.00;NAN;NAN;0.20;NAN;17.644;0.401;-3.852;-8.714;NAN;pksmb,htru_pks;
1175;J1706-4310;NAN;NAN;NAN;51457.00;343.758;-1.375;256.51879167;-43.17250000;0.616979;6.51e-15;656.10;NAN;NAN;0.28;NAN;17.561;-0.421;-4.910;-8.355;NAN;pksmb,htru_pks;
1176;J1706-4434;NAN;NAN;NAN;57416.00;342.672;-2.264;256.59659583;-44.57500000;0.429922;2.58e-15;467.00;NAN;NAN;0.19;NAN;19.449;-0.768;-5.788;-10.052;NAN;htru_pks;
1177;J1706+59;NAN;NAN;NAN;56292.00;88.097;36.319;256.75000000;59.16666667;1.476687;NAN;31.00;NAN;8.00;NAN;NAN;4.012;2.376;3.231;8.393;NAN;gbncc,lotaas;
1178;J1706-6118;NAN;NAN;NAN;53000.00;329.053;-12.152;256.54080833;-61.30325000;0.361921;2.92e-16;76.13;NAN;NAN;NAN;NAN;3.394;-0.714;-1.706;5.654;NAN;pkssw,htru_pks;
1179;J1707+35;NAN;NAN;NAN;NAN;59.261;35.784;256.75000000;35.93333333;0.159800;NAN;19.24;NAN;NAN;NAN;NAN;1.680;0.982;1.171;7.803;NAN;lotaas;
1180;J1707-4053;NAN;NAN;NAN;57600.00;345.718;-0.197;256.84075000;-40.89863889;0.581018;1.92e-15;360.00;0.02;NAN;10.20;NAN;4.000;-0.014;-0.987;4.624;NAN;pks1,pksmb,htru_pks;
1181;J1707-4341;NAN;NAN;NAN;51708.00;343.521;-1.915;256.91712500;-43.68666667;0.890594;5.70e-15;398.20;NAN;NAN;0.46;NAN;13.009;-0.435;-3.688;-3.968;NAN;pksmb,htru_pks;
1182;J1707-4417;NAN;NAN;NAN;54999.00;343.041;-2.278;256.92254167;-44.28861111;5.763777;1.16e-14;380.00;NAN;NAN;NAN;NAN;14.053;-0.559;-4.096;-4.931;NAN;pksmb;
1183;J1707-4729;NAN;NAN;NAN;51496.00;340.424;-4.135;256.81477917;-47.49291667;0.266474;1.56e-15;268.30;NAN;NAN;2.40;NAN;12.833;-0.925;-4.289;-3.560;NAN;pksmb,htru_pks;
1184;J1708+02;NAN;NAN;NAN;56631.00;22.265;23.582;257.16250000;1.80166667;0.410772;NAN;29.00;NAN;NAN;NAN;NAN;1.454;0.582;0.505;7.267;NAN;htru_pks;
1185;J1708-3426;NAN;NAN;NAN;57600.00;351.083;3.407;257.24079167;-34.44555556;0.692116;4.21e-15;190.70;0.00;36.00;2.00;NAN;4.724;0.281;-0.731;3.841;NAN;pks70,pksmb,htru_pks;
1186;J1708-3641;NAN;NAN;NAN;56047.00;349.235;2.130;257.14962500;-36.68930556;0.587567;1.35e-16;316.00;NAN;NAN;0.12;NAN;11.313;0.420;-2.112;-2.606;NAN;htru_pks;
1187;J1708-3827;NAN;NAN;NAN;51401.00;347.776;1.123;257.06875000;-38.46000000;1.225782;8.60e-15;788.00;NAN;NAN;0.42;NAN;20.594;0.404;-4.360;-11.623;NAN;pksmb,htru_pks;
1188;J1708-4008;NAN;NAN;NAN;55567.00;346.481;0.036;257.19529167;-40.14790000;11.006262;1.96e-11;NAN;NAN;NAN;NAN;NAN;3.800;0.002;-0.888;4.805;XRS:RXSJ170849.0-400910;misc;
1189;J1708-4522;NAN;NAN;NAN;52158.00;342.220;-3.006;257.05383333;-45.38083333;1.297837;2.61e-15;454.00;NAN;NAN;0.22;NAN;23.091;-1.211;-7.042;-13.458;NAN;pksmb,htru_pks;
1190;J1708-52;NAN;NAN;NAN;56657.00;336.854;-6.911;257.00000000;-52.00000000;0.449620;NAN;102.60;NAN;NAN;NAN;NAN;3.295;-0.396;-1.286;5.492;NAN;ghrss;
1191;J1708-7539;NAN;NAN;NAN;43565.10;316.676;-20.221;257.01041667;-75.65638889;1.191024;1.88e-15;37.00;NAN;2.50;NAN;NAN;1.322;-0.457;-0.851;7.598;NAN;mol2,pkssw;
1192;J1709-1640;-2.000;47.000;NAN;46993.00;5.775;13.657;257.36017208;-16.68270278;0.653054;6.31e-15;24.89;0.00;47.00;14.50;NAN;0.562;0.133;0.055;7.957;NAN;mol1,mol2,gb2,gb3,pks70,pkssw,htru_;
1193;J1709-3626;NAN;NAN;NAN;51400.00;349.578;2.095;257.43812500;-36.43433333;0.447857;2.27e-15;393.60;NAN;NAN;0.58;NAN;16.081;0.588;-2.907;-7.305;NAN;pksmb,htru_pks;
