#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
21;J0033+57;NAN;NAN;NAN;54100.00;120.410;-5.781;8.25000000;57.00000000;0.315000;NAN;75.65;8.600;19.000;NAN;NAN;NAN;NAN;2.251;2.251;-0.227;1.931;9.634;NAN;gbt350,lotaas,gbncc;NAN;
22;J0033+61;NAN;NAN;NAN;54100.00;120.698;-1.792;8.25000000;61.00000000;0.912000;NAN;37.70;16.000;26.000;NAN;NAN;NAN;NAN;1.654;1.654;-0.052;1.422;9.344;NAN;gbt350,lotaas,gbncc;NAN;
23;J0034-0721;10.370;-11.130;0.930;52275.00;110.420;-69.815;8.53695958;-7.36483583;0.942951;4.08e-16;10.92;53.000;120.000;0.00;52.00;11.10;NAN;1.030;0.996;-0.967;0.333;8.624;NAN;mol1,pks70,lotaas;NAN;
24;J0034+69;NAN;NAN;NAN;56292.00;121.411;6.896;8.50000000;69.71666667;0.036804;NAN;80.01;1.200;2.700;NAN;4.50;NAN;NAN;2.283;2.283;0.274;1.934;9.681;NAN;gbncc;NAN;
25;J0036-1033;NAN;NAN;NAN;58774.00;110.033;-73.044;9.06254167;-10.55394444;0.900009;2.13e-16;23.10;15.000;NAN;NAN;1.00;NAN;NAN;25.000;25.000;-23.913;6.850;10.998;NAN;mwa_smart;NAN;
26;J0038-2501;NAN;NAN;NAN;57474.00;67.413;-86.354;9.54276667;-25.02520278;0.256926;7.60e-19;5.71;14.000;15.000;NAN;NAN;NAN;NAN;0.604;0.604;-0.603;0.035;8.485;NAN;gbncc;NAN;
27;J0039+35;NAN;NAN;NAN;NAN;120.121;-27.054;9.77500000;35.75000000;0.536700;NAN;53.04;11.000;NAN;NAN;NAN;NAN;NAN;25.000;25.000;-11.371;19.258;19.673;NAN;lotaas;NAN;
28;J0040+5716;12.390;-5.400;0.110;56000.00;121.452;-5.567;10.13495792;57.27356472;1.118225;2.88e-15;92.51;12.200;24.400;NAN;7.50;0.60;NAN;2.420;2.420;-0.235;2.055;9.757;NAN;gb2,gbncc,lotaas;NAN;
29;J0043-73;NAN;NAN;NAN;57990.69;303.737;-43.932;10.85416667;-73.18333333;0.937429;NAN;115.10;NAN;NAN;NAN;NAN;0.05;NAN;58.938;58.938;-40.892;-35.297;-15.073;EXGAL:SMC;misc;NAN;
30;J0045-7042;NAN;NAN;NAN;52407.00;303.652;-46.418;11.35704167;-70.70197222;0.632336;2.49e-15;71.30;20.000;NAN;NAN;NAN;0.06;NAN;59.700;58.577;-43.246;-34.260;-14.307;EXGAL:SMC;misc;NAN;
