#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;PSR;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;TYPE;
1386;J1657-4432;kbm+03;J1657-4432;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;341.743;-1.006;254.40311;1.8e-04;-44.5388;3.1e-04;0.609612663102;8.0e-12;kjk+24;8.3285E-15;1.5e-18;kjk+24;375.29999418089931174;0;kjk+24;13;0;pkj+21;31;0;pkj+21;NAN;0;*;NAN;0;*;0.38;5.0e-02;kbm+03;NAN;0;*;4.558;4.558;ymw17;-0.080;-1.428;4.172;NAN;0;pksmb,htru_pks,misc;NAN;
1387;J1657-46;sbb+23;J1657-46;sbb+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;340.276;-2.206;254.44167;0;-46.43;1.2e-01;892.31027e-3;0;mmr+24;NAN;0;*;682.0;0;mmr+24;90.6;0;mmr+24;NAN;0;*;NAN;0;*;NAN;0;*;0.16;0;mmr+24;NAN;0;*;25.000;25.000;ymw17;-0.962;-8.431;-15.016;NAN;0;pksmb;NAN;
1388;J1658-2823;mss+20;J1658-2823;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;354.538;8.917;254.51250;0;-28.38444;0;3.3597;0;mss+20;NAN;0;*;85.5;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;3.473;3.473;ymw17;0.538;-0.327;5.085;NAN;0;gbncc;RRAT[mss+20];
1389;J1658-4306;kbm+03;J1658-4306;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51451.00;*;342.933;-0.214;254.5692;1.3e-03;-43.1139;1.9e-03;1.1664490044;5.0e-10;kbm+03;4.279E-14;6.0e-17;kbm+03;845;1.1e+01;kbm+03;97;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.80;9.0e-02;kbm+03;NAN;0;*;5.254;5.254;ymw17;-0.020;-1.542;3.477;NAN;0;pksmb,htru_pks;NAN;
1390;J1658-47;ncb+15;J1658-47;ncb+15;NAN;0;*;NAN;0;*;NAN;0;*;56657.00;*;339.742;-2.767;254.60;1.2e-01;-47.20;1.2e-01;0.3693649;1.4e-06;ncb+15;NAN;0;*;533;5.0e+00;ncb+15;27.4;0;ncb+15;43.8;0;ncb+15;NAN;0;*;NAN;0;*;0.18;0;ncb+15;NAN;0;*;23.422;23.422;ymw17;-1.131;-8.101;-13.448;NAN;0;htru_pks;NAN;
1391;J1658-4958;hfs+04;J1658-4958;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;337.602;-4.554;254.729035;1.5e-05;-49.98303;2.0e-05;0.4168761908603;4.0e-13;kjk+24;3.85241E-15;1.8e-19;kjk+24;192.45999701586965505;0;kjk+24;12;0;pkj+21;27;0;pkj+21;NAN;0;*;NAN;0;*;1.6;3.0e-01;jk18;NAN;0;*;6.045;6.045;ymw17;-0.480;-2.296;2.929;NAN;0;pksmb,htru_pks,misc;NAN;
1392;J1658-5324;kcj+12;J1658-5324;kcj+12;0.2;8.0e-01;ckr+15;4.9;3.0e-01;ckr+15;1.3;3.0e-01;sbf+24;59188;sbf+24;334.869;-6.625;254.66393088;2.9e-08;-53.40193862;3.0e-08;0.0024392959097964;3.0e-16;ckr+15;1.1154E-20;4.0e-24;ckr+15;30.8301;6.0e-04;sbm+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.43;4.0e-02;sbm+22;NAN;0;*;0.769;0.880;ymw17;-0.089;-0.325;7.808;GRS:4FGL_J1658.6-5323[aab+22],XRS:[pb15];0;FermiAssoc;HE;
1393;B1657-13;dtws85;J1659-1305;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49725.0;hlk+04;7.507;17.592;254.97120;8.9e-05;-13.0858;5.0e-04;0.640958200232;5.0e-12;hlk+04;6.1770E-16;4.0e-20;hlk+04;60.37;7.0e-02;hlk+04;21;0;pkj+21;68;0;pkj+21;NAN;0;*;6.3;7.0e-01;lylg95;0.803;1.7e-02;xwh+19;NAN;0;*;0.484;0.484;ymw17;0.146;0.060;8.043;NAN;0;gb2,pks70;NAN;
1394;J1659-4316;kbm+03;J1659-4316;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51527.00;*;343.000;-0.547;254.98492;1.7e-04;-43.2683;5.6e-04;0.47438143461;3.0e-11;kbm+03;1.71E-16;1.0e-17;kbm+03;641;2.0e+00;kbm+03;11;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.21;3.0e-02;kbm+03;NAN;0;*;4.986;4.986;ymw17;-0.048;-1.458;3.732;NAN;0;pksmb,htru_pks;NAN;
1395;J1659-4439;kbm+03;J1659-4439;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;341.881;-1.361;254.91441;2.7e-05;-44.65041;7.2e-05;0.3532930572038;5.0e-13;kjk+24;2.747E-17;4.0e-20;kjk+24;535.92899169031491408;0;kjk+24;19;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.42;5.0e-02;kbm+03;NAN;0;*;12.712;12.712;ymw17;-0.302;-3.952;-3.578;NAN;0;pksmb,htru_pks,misc;NAN;
1396;J1659-54;vff+20;J1659-54;vff+20;NAN;0;*;NAN;0;*;NAN;0;*;58196.80;*;334.459;-7.077;254.85;2.1e-02;-54;2.0e+00;0.54457;1.5e-04;vff+20;NAN;0;*;134;1.5e+01;vff+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;5.658;5.658;ymw17;-0.697;-2.421;3.434;NAN;0;misc;NAN;
1397;J1700-0954;sfj+20;J1700-0954;sfj+20;NAN;0;*;NAN;0;*;NAN;0;*;57199;sfj+20;10.307;19.330;255.01345;5.0e-05;-9.9120;2.2e-04;0.81731160245;5.0e-11;sfj+20;7.520E-16;7.0e-19;sfj+20;64.1;1.1e+00;sfj+20;33.5;8.0e-01;sfj+20;NAN;0;*;NAN;0;*;NAN;0;*;0.35;8.0e-02;sfj+20;NAN;0;*;0.217;0.217;ymw17;0.072;0.037;8.299;NAN;0;pks_superb;NAN;
1398;J1700-3312;mld+96;J1700-3312;mld+96;NAN;0;*;NAN;0;*;NAN;0;*;50856.0;hlk+04;351.055;5.489;255.22076;7.6e-05;-33.2129;4.0e-04;1.358310510347;6.0e-12;kjk+24;4.7121E-15;6.0e-19;kjk+24;166.70299741523703162;0;kjk+24;35;0;pkj+21;49;0;pkj+21;2.9E-5;7.0e-06;kmn+15;21;0;mld+96;1.6;3.0e-01;jk18;NAN;0;*;7.348;7.348;ymw17;0.703;-1.137;1.275;NAN;0;pks70,gbncc,htru_pks,misc,pksmb,pkssw;NAN;
1399;J1700-3611;lfl+06;J1700-3611;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52828.00;*;348.679;3.672;255.2055;2.1e-04;-36.1981;8.3e-04;1.49409061528;1.6e-10;lfl+06;4.324E-15;1.6e-17;lfl+06;232.7;1.2e+00;lfl+06;22;0;lfl+06;60;0;lfl+06;NAN;0;*;NAN;0;*;0.8;2.0e-01;jk18;NAN;0;*;9.288;9.288;ymw17;0.595;-1.820;-0.589;NAN;0;pksmb,gbncc,htru_pks;NAN;
1400;J1700-39;sbb+24;J1700-39;sbb+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;345.814;1.620;255.03;1.2e-01;-39.72;1.2e-01;3.74646;5.0e-05;sbb+24;NAN;0;*;509;3.6e+01;sbb+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;16.972;16.972;ymw17;0.480;-4.158;-7.948;NAN;0;htru_pks;NAN;
1401;J1700-3919;hfs+04;J1700-3919;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;52025.00;*;346.161;1.826;255.09279;1.2e-04;-39.3167;3.9e-04;0.560503533065;1.6e-11;hfs+04;5.0E-18;1.3e-18;hfs+04;354.3;1.8e+00;hfs+04;13;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.23;3.0e-02;hfs+04;NAN;0;*;11.632;11.632;ymw17;0.371;-2.781;-2.789;NAN;0;pksmb,htru_pks;NAN;
1402;J1700-4012;lfl+06;J1700-4012;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;53105.00;*;345.488;1.234;255.16063;1.7e-04;-40.2107;3.3e-04;0.283791853785;1.1e-11;lfl+06;9.9E-17;4.0e-18;lfl+06;385;4.0e+00;lfl+06;15;0;pkj+21;27;0;lfl+06;NAN;0;*;NAN;0;*;0.13;0;lfl+06;NAN;0;*;6.704;6.704;ymw17;0.144;-1.679;2.011;NAN;0;pksmb,htru_pks;NAN;
1403;J1700-4422;kjv+10;J1700-4422;kjv+10;NAN;0;*;NAN;0;*;NAN;0;*;55065.00;*;342.235;-1.364;255.2236;3.3e-04;-44.3742;2.8e-04;0.7555354095;3.0e-10;bbb+12;4.0E-17;2.0e-17;bbb+12;404.9;9.0e-01;okp+21;55;0;pkj+21;72;0;tjb+13;0.075;4.0e-03;okp+21;NAN;0;*;0.30;1.0e-01;jk18;NAN;0;*;6.366;6.366;ymw17;-0.152;-1.942;2.439;NAN;0;htru_pks;NAN;
1404;J1700-4939;kbm+03;J1700-4939;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51709.00;*;338.008;-4.538;255.09400;1.7e-04;-49.6542;2.8e-04;0.57836343922;4.0e-11;kbm+03;1.078E-15;7.0e-18;kbm+03;278;3.0e+00;kbm+03;12;0;pkj+21;79;0;kbm+03;NAN;0;*;NAN;0;*;0.17;3.0e-02;kbm+03;NAN;0;*;15.416;15.416;ymw17;-1.220;-5.755;-5.749;NAN;0;pksmb;NAN;
1405;J1701-3130;ebvb01;J1701-3130;ebvb01;NAN;0;*;NAN;0;*;NAN;0;*;51500.00;*;352.523;6.384;255.43130;2.1e-05;-31.51019;1.1e-04;0.2913414710251;1.2e-12;ebvb01;5.596E-17;1.2e-19;ebvb01;130.73;6.0e-02;ebvb01;6.8;0;pkj+21;17;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;5.251;5.251;ymw17;0.584;-0.679;3.326;NAN;0;pkssw,gbncc,htru_pks;NAN;
1406;B1658-37;jlm+92;J1701-3726;jlm+92;NAN;0;*;NAN;0;*;NAN;0;*;57600;lbs+20;347.755;2.833;255.32688;4.2e-05;-37.44089;1.4e-04;2.454618042634;1.3e-11;lbs+20;1.11231E-14;4.0e-19;lbs+20;303.4;5.0e-01;jml+95;40.9;0;jk18;105;0;hfs+04;0.0040;4.0e-04;kmn+15;NAN;0;*;4.1;8.0e-01;jk18;NAN;0;*;12.949;12.949;ymw17;0.640;-2.743;-4.139;NAN;0;pks1,htru_pks,pksmb;NAN;
1407;B1657-45;jlm+92;J1701-4533;jlm+92;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;341.360;-2.177;255.371353;1.6e-05;-45.56368;2.6e-05;0.32290906669760;1.7e-13;kjk+24;5.1880E-16;8.0e-20;kjk+24;527.04654374805412637;0;kjk+24;20;0;pkj+21;42;0;pkj+21;9.120E-03;0;joh90;NAN;0;*;3.1;6.0e-01;jk18;NAN;0;*;19.597;19.597;ymw17;-0.744;-6.259;-10.056;NAN;0;pks1,htru_pks,misc,pksmb;NAN;
1408;J1701-4958;eklk13;J1701-4958;eklk13;NAN;0;*;NAN;0;*;NAN;0;*;54844.60;*;337.835;-4.841;255.3035;2.5e-04;-49.9758;5.6e-04;0.80430423739;1.2e-10;eklk13;1.1E-16;4.0e-17;eklk13;230;5.0e+00;eklk13;128.7;0;eklk13;NAN;0;*;NAN;0;*;NAN;0;*;0.260;1.0e-02;eklk13;NAN;0;*;10.824;10.824;ymw17;-0.914;-4.069;-1.488;NAN;0;pksmb;NAN;
1409;J1702-3932;kbm+03;J1702-3932;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51709.00;*;346.203;1.401;255.55983;1.2e-04;-39.5444;5.6e-04;0.390327976785;1.9e-11;kbm+03;3.78E-16;5.0e-18;kbm+03;530;4.0e+00;kbm+03;14;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.30;4.0e-02;kbm+03;NAN;0;*;15.193;15.193;ymw17;0.371;-3.622;-6.250;NAN;0;pksmb,htru_pks;NAN;
1410;J1702-4128;kbm+03;J1702-4128;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51530.00;*;344.744;0.123;255.71883;4.2e-05;-41.48006;1.4e-04;0.182135802939;6.0e-12;kbm+03;5.23448E-14;3.0e-19;kbm+03;365.75;8.0e-02;okp+21;12;0;pkj+21;36;0;pkj+21;0.0255;7.0e-04;okp+21;NAN;0;*;1.17;7.0e-02;jvk+18;NAN;0;*;3.967;3.967;ymw17;0.008;-1.044;4.673;GRS:4FGL_J1702.9-4131[aab+22];0;pksmb,FermiAssoc,htru_pks;HE[kbm+03],HE[aab+22];
1411;J1702-4145;pbs+23;J1702-4145;pbs+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;344.535;-0.059;255.73950;0;-41.75664;0;0.345805;1.5e-05;pbs+23;NAN;0;*;945;6.0e+00;pbs+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;5.468;5.468;ymw17;-0.006;-1.458;3.230;NAN;0;mmgps-l;NAN;
1412;J1702-4217;hfs+04;J1702-4217;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;51895.00;*;344.078;-0.329;255.6518;2.5e-04;-42.2837;6.1e-04;0.227564958458;7.0e-12;hfs+04;1.14E-17;6.0e-19;hfs+04;629;5.0e+00;hfs+04;41;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.50;6.0e-02;hfs+04;NAN;0;*;4.715;4.715;ymw17;-0.027;-1.293;3.966;NAN;0;pksmb,htru_pks;NAN;
1413;J1702-4306;kel+09;J1702-4306;kel+09;NAN;0;*;NAN;0;*;NAN;0;*;55560;psj+19;343.405;-0.814;255.61400;8.3e-05;-43.11253;1.1e-04;0.2155084733367;1.0e-12;psj+19;9.779785E-15;1.0e-20;psj+19;538.4;5.0e-01;pkj+13;8.2;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.46;4.0e-02;jvk+18;NAN;0;*;5.046;5.046;ymw17;-0.072;-1.441;3.665;NAN;0;pksmb,htru_pks;NAN;
1414;J1702-4310;kbm+03;J1702-4310;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51597.00;*;343.352;-0.852;255.6123;2.1e-04;-43.1778;5.6e-04;0.24052386477;4.0e-11;kbm+03;2.237763E-13;1.8e-18;kbm+03;377.6;3.0e-01;pkj+13;11.5;0;jk18;23;0;jw06;NAN;0;*;NAN;0;*;0.92;6.0e-02;jvk+18;NAN;0;*;4.327;4.327;ymw17;-0.064;-1.239;4.355;NAN;0;pksmb,htru_pks;NAN;
1415;J1702-4428;kbm+03;J1702-4428;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51400.00;*;342.378;-1.701;255.7192;1.7e-03;-44.4675;1.9e-03;2.1235057036;6.0e-10;kbm+03;3.3E-15;4.0e-16;kbm+03;395;8.0e+00;kbm+03;74;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.38;5.0e-02;kbm+03;NAN;0;*;11.153;11.153;ymw17;-0.331;-3.375;-2.125;NAN;0;pksmb,htru_pks;NAN;
1416;J1703-18;mbc+19;J1703-18;mbc+19;NAN;0;*;NAN;0;*;NAN;0;*;55064.00;*;3.133;13.616;255.85833;0;-18.81500;0;1.27024;0;mbc+19;NAN;0;*;46;0;mbc+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.416;1.416;ymw17;0.333;0.075;7.126;NAN;0;htru_pks;NAN;
1417;B1700-18;vl72;J1703-1846;vl72;-0.73;8.0e-02;kjk+24;16.92;1.9e-01;kjk+24;0.35;5.0e-02;kjk+24;59400;kjk+24;3.229;13.561;255.962863;1.0e-05;-18.77085;8.3e-05;0.8043425117987;8.0e-13;kjk+24;1.73060E-15;6.0e-20;kjk+24;49.63026205846286408;0;kjk+24;11;0;pkj+21;23;0;pkj+21;NAN;0;*;11.0;1.0e+00;lylg95;0.7;2.0e-01;lylg95;NAN;0;*;2.800;1.693;ymw17;0.657;0.153;5.782;NAN;0;mol1,misc,mol2,pks70,pkssw;NAN;
1418;B1700-32;dls73;J1703-3241;dls73;NAN;0;*;NAN;0;*;NAN;0;*;50005.0;hlk+04;351.786;5.387;255.843920;1.8e-05;-32.69668;9.0e-05;1.211785647866;3.0e-12;kjk+24;6.558E-16;3.0e-19;kjk+24;110.08799829306379812;0;kjk+24;39;0;pkj+21;49;0;pkj+21;3.43E-5;7.0e-07;kmn+15;32;3.0e+00;lylg95;8.7;1.7e+00;jk18;NAN;0;*;3.160;3.160;ymw17;0.297;-0.449;5.386;NAN;0;jb1,htru_pks,misc,mol2,pks70,pksmb;NAN;
1419;J1703-38;kle+10;J1703-38;kle+10;NAN;0;*;NAN;0;*;NAN;0;*;54999.00;*;347.410;2.037;255.86;1.5e-01;-38.20;1.2e-01;6.4430;1.0e-03;kkl+11;NAN;0;*;375;1.2e+01;kkl+11;9.0;0;kle+10;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;14.172;14.172;ymw17;0.504;-3.087;-5.323;NAN;0;pksmb;RRAT;
1420;J1703-4442;kbm+03;J1703-4442;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51708.00;*;342.235;-1.916;255.83579;1.2e-04;-44.7117;2.8e-04;1.74729348943;1.0e-10;kbm+03;1.4300E-14;1.9e-17;kbm+03;280.2;1.9e+00;kbm+03;12;0;pkj+21;56;0;pkj+21;NAN;0;*;NAN;0;*;0.21;3.0e-02;kbm+03;NAN;0;*;5.224;5.224;ymw17;-0.175;-1.593;3.528;NAN;0;pksmb,htru_pks;NAN;
1421;J1703-4851;mld+96;J1703-4851;mld+96;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;338.986;-4.515;255.97727;2.3e-05;-48.86699;3.1e-05;1.396405758006;6.0e-12;kjk+24;5.0868E-15;8.0e-19;kjk+24;149.63;0;kjk+24;11;0;pkj+21;55;0;pkj+21;7.3E-5;7.0e-06;kmn+15;22;0;mld+96;1.4;3.0e-01;jk18;NAN;0;*;4.076;4.076;ymw17;-0.321;-1.457;4.707;NAN;0;pks70,misc,pksmb;NAN;
1422;J1704-3549;pbs+23;J1704-3549;pbs+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;349.423;3.319;256.11012;0;-35.82439;0;2.270547;1.3e-05;pbs+23;NAN;0;*;291.6;9.0e-01;pbs+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;13.998;13.998;ymw17;0.811;-2.565;-5.237;NAN;0;mmgps-l;NAN;
1423;J1704-3756;ccb+20;J1704-3756;ccb+20;NAN;0;*;NAN;0;*;NAN;0;*;57650.00;*;347.795;1.953;256.23944;6.2e-05;-37.9452;2.2e-04;0.305234449799;1.1e-11;ccb+20;1.1284E-14;3.0e-18;ccb+20;405.7;6.0e-01;ccb+20;11.7;0;ccb+20;21.3;0;ccb+20;NAN;0;*;NAN;0;*;0.134;1.5e-02;ccb+20;NAN;0;*;15.250;15.250;ymw17;0.520;-3.222;-6.397;NAN;0;htru_pks;NAN;
1424;J1704-5236;bbb+12;J1704-5236;bbb+12;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;336.051;-6.869;256.16904;2.7e-05;-52.61590;2.6e-05;0.2307085061766;3.0e-13;kjk+24;5.064E-17;3.0e-20;kjk+24;163.954;0;kjk+24;7.273;4.0e-03;bsb+19;24.1;5.0e-01;bsb+19;NAN;0;*;NAN;0;*;0.605;9.0e-03;bsb+19;NAN;0;*;8.696;8.696;ymw17;-1.040;-3.505;0.610;NAN;0;htru_pks,misc;NAN;
1425;B1659-60;mlt+78;J1704-6016;mlt+78;NAN;0;*;NAN;0;*;NAN;0;*;43557.01;*;329.762;-11.367;256.062;2.1e-03;-60.2817;1.7e-03;0.3063230254;5.0e-10;nmc81;9.1E-16;2.0e-17;nmc81;54;5.0e+00;nmc81;90;0;qmlg95;125;0;qmlg95;NAN;0;*;23;0;tml93;NAN;0;*;NAN;0;*;1.589;1.589;ymw17;-0.313;-0.785;7.154;NAN;0;mol2,pks70;NAN;
1426;J1705-04;kkl+15;J1705-04;kkl+15;NAN;0;*;NAN;0;*;NAN;0;*;56657.00;*;15.709;21.105;256.2;5.0e-01;-4.7;6.0e-01;0.23748;2.0e-05;kkl+15;NAN;0;*;42.951;9.0e-03;kkl+15;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.210;0.210;ymw17;0.076;0.053;8.311;NAN;0;gbt350;RRAT;
1427;J1705-1903;mbc+19;J1705-1903;mbc+19;NAN;0;*;NAN;0;*;NAN;0;*;59198;sbf+24;3.248;13.030;256.43270250;1.2e-07;-19.0615056;1.0e-06;0.00248022;0;mbc+19;NAN;0;*;57.50473;7.0e-05;sbm+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.575;1.4e-02;sbm+22;NAN;0;*;2.344;2.344;ymw17;0.528;0.129;6.220;NAN;0;htru_pks;NAN;
1428;B1702-19;mlt+78;J1705-1906;mlt+78;-77;2.0e+00;jbv+19;-52;1.7e+01;jbv+19;NAN;0;*;48733.0;hlk+04;3.189;13.026;256.400416;1.3e-05;-19.11073;1.1e-04;0.2989912440603;8.0e-13;kjk+24;4.13471E-15;9.0e-20;kjk+24;22.90699964482243681;0;kjk+24;8.2;0;pkj+21;14;0;pkj+21;NAN;0;*;29;3.0e+00;lylg95;5.66;3.0e-02;jsd+21;NAN;0;*;0.747;0.747;ymw17;0.168;0.040;7.773;GRS:4FGL_J1705.6-1909[aab+22];0;mol2,FermiBlind,htru_pks,misc,pks70,pkssw;HE;
1429;J1705-3423;mld+96;J1705-3423;mld+96;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;350.722;3.976;256.42652;1.8e-04;-34.3946;1.4e-03;0.25542694300;8.0e-11;kjk+24;1.075E-15;3.0e-18;kjk+24;146.15222049080900001;0;kjk+24;12;0;pkj+21;21;0;pkj+21;0.00030;3.0e-05;kmn+15;31;0;mld+96;5.3;1.1e+00;jk18;NAN;0;*;3.831;3.831;ymw17;0.266;-0.616;4.728;NAN;0;pks70,gbncc,htru_pks,misc,pksmb;NAN;
1430;J1705-3936;kbm+03;J1705-3936;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51400.00;*;346.548;0.845;256.4046;1.3e-03;-39.6081;1.7e-03;0.8544816637;3.0e-10;kbm+03;1.927E-14;1.0e-16;kbm+03;598;5.0e+00;kbm+03;22;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.33;4.0e-02;kbm+03;NAN;0;*;9.695;9.695;ymw17;0.143;-2.255;-0.928;NAN;0;pksmb,htru_pks;NAN;
1431;J1705-3950;kbm+03;J1705-3950;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;346.341;0.718;256.37397;1.8e-04;-39.8496;4.4e-04;0.318979401286;9.0e-12;kjk+24;6.07768E-14;1.1e-18;kjk+24;206.86245433098458231;0;kjk+24;8.1;0;pkj+21;34;0;pkj+21;0.004846;1.1e-05;lkk15;NAN;0;*;1.60;1.0e-01;jvk+18;NAN;0;*;3.424;3.424;ymw17;0.043;-0.808;5.173;NAN;0;pksmb,htru_pks,misc;NAN;
1432;J1705-4108;kbm+03;J1705-4108;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51505.00;*;345.291;-0.042;256.3350;4.2e-04;-41.146;2.2e-03;0.8610674067;3.0e-10;kbm+03;3.471E-14;7.0e-17;kbm+03;1077;6.0e+00;kbm+03;40.4;0;jk18;NAN;0;*;NAN;0;*;NAN;0;*;1.3;2.0e-01;kbm+03;NAN;0;*;5.969;5.969;ymw17;-0.004;-1.516;2.727;NAN;0;pksmb,htru_pks;NAN;
1433;J1705-4331;kjv+10;J1705-4331;kjv+10;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;343.428;-1.515;256.399602;1.0e-05;-43.52049;2.0e-05;0.2225611334956;3.0e-13;kjk+24;7.233E-17;5.0e-20;kjk+24;185.23999712781718228;0;kjk+24;11;0;pkj+21;15;0;pkj+21;NAN;0;*;NAN;0;*;0.40;1.0e-01;jk18;NAN;0;*;3.441;3.441;ymw17;-0.091;-0.981;5.203;NAN;0;htru_pks,misc;NAN;
1434;J1705-6135;kjv+10;J1705-6135;kjv+10;NAN;0;*;NAN;0;*;NAN;0;*;54896.00;*;328.751;-12.228;256.3138;8.3e-04;-61.5875;5.6e-04;0.8085460890;1.0e-09;bbb+12;6.0E-17;4.0e-17;bbb+12;95;5.0e+00;tjb+14;165.7;0;jk18;85;0;tjb+13;NAN;0;*;NAN;0;*;0.40;1.0e-01;jk18;NAN;0;*;5.577;5.577;ymw17;-1.181;-2.827;3.840;NAN;0;htru_pks;NAN;
1435;J1706+59;slr+14;J1706+59;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56292.00;*;88.097;36.319;256.8;7.5e-01;59.2;3.0e-01;1.47669;6.0e-05;slr+14;NAN;0;*;30.8;4.0e-01;mss+20;20;0;mss+20;56;0;mss+20;NAN;0;*;8.0;0;slr+14;NAN;0;*;NAN;0;*;3.931;3.931;ymw17;2.328;3.166;8.395;NAN;0;gbncc,lotaas;NAN;
1436;J1706-3839;kbm+03;J1706-3839;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51510.00;*;347.387;1.301;256.5888;8.3e-04;-38.664;3.6e-03;0.58628740134;1.8e-10;kbm+03;3.00E-15;6.0e-17;kbm+03;626;7.0e+00;kbm+03;26;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.20;3.0e-02;kbm+03;NAN;0;*;17.642;17.642;ymw17;0.401;-3.851;-8.712;NAN;0;pksmb,htru_pks;NAN;
1437;J1706-4020;pbs+23;J1706-4020;pbs+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;346.023;0.334;256.52250;0;-40.33547;0;0.180632;3.0e-06;pbs+23;NAN;0;*;598;2.0e+00;pbs+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.711;4.711;ymw17;0.027;-1.138;3.929;NAN;0;mmgps-l;NAN;
1438;J1706-4310;kbm+03;J1706-4310;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51457.00;*;343.758;-1.375;256.5188;2.1e-04;-43.1725;8.3e-04;0.6169790441;5.0e-10;kbm+03;6.506E-15;1.2e-17;kbm+03;656.1;1.8e+00;kbm+03;16;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.28;4.0e-02;kbm+03;NAN;0;*;17.546;17.546;ymw17;-0.421;-4.906;-8.341;NAN;0;pksmb,htru_pks;NAN;
