#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;PSR;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;TYPE;
21;J0033+57;hrk+08;J0033+57;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;120.410;-5.781;8.25000;0;57.00000;0;0.315;0;hrk+08;NAN;0;*;75.65;9.0e-02;mss+20;8.6;0;mss+20;19;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.251;2.251;ymw17;-0.227;1.931;9.634;NAN;0;gbt350,gbncc,lotaas;NAN;
22;J0033+61;hrk+08;J0033+61;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;120.698;-1.792;8.25000;0;61.00000;0;0.912;0;hrk+08;NAN;0;*;37.7;3.0e-01;mss+20;16;0;mss+20;26;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.654;1.654;ymw17;-0.052;1.422;9.344;NAN;0;gbt350,gbncc,lotaas;NAN;
23;J0034+69;slr+14;J0034+69;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56292.00;*;121.411;6.896;8.5;7.5e-01;69.7;3.0e-01;0.03680412;1.6e-07;slr+14;NAN;0;*;80.010;1.5e-02;mss+20;1.2;0;mss+20;2.7;0;mss+20;NAN;0;*;4.5;0;slr+14;NAN;0;*;NAN;0;*;2.283;2.283;ymw17;0.274;1.934;9.681;NAN;0;gbncc;NAN;
24;B0031-07;lvw69a;J0034-0721;lvw69a;10.37;8.0e-02;kjk+24;-11.13;1.6e-01;kjk+24;0.93;8.0e-02;kjk+24;59400;kjk+24;110.422;-69.814;8.537;5.0e-03;-7.364;1.7e-02;0.942951459;3.0e-09;kjk+24;4.1E-16;9.0e-17;kjk+24;16.055451910543860266;0;kjk+24;53;0;pkj+21;120;0;pkj+21;3.2E-9;1.1e-09;kl07;52;1.2e+01;lylg95;11;3.0e+00;jk18;NAN;0;*;1.030;1.776;ymw17;-0.967;0.333;8.624;NAN;0;mol1,lotaas,misc,pks70;NAN;
25;J0036-1033;sbs+21;J0036-1033;sbs+21;NAN;0;*;NAN;0;*;NAN;0;*;58774.00;*;110.033;-73.044;9.06254;1.7e-04;-10.5539;2.5e-04;0.900009289;3.0e-09;sbs+21;2.131E-16;3.0e-19;sbs+21;23.1;2.0e-01;sbs+21;15;0;sbs+21;NAN;0;*;NAN;0;*;1;0;sbs+21;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-23.913;6.850;10.998;NAN;0;mwa_smart;NAN;
26;J0038-2501;acd+19;J0038-2501;acd+19;NAN;0;*;NAN;0;*;NAN;0;*;57474.00;*;67.413;-86.354;9.54277;4.2e-05;-25.025203;5.6e-06;0.2569264575329;1.7e-12;acd+19;7.60E-19;6.0e-21;acd+19;5.710;3.0e-03;acd+19;14;0;pkj+21;15;0;acd+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.604;0.604;ymw17;-0.603;0.035;8.485;NAN;0;gbncc;NAN;
27;J0039+35;scb+19;J0039+35;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;120.121;-27.054;9.78;5.0e-02;35.75;5.0e-02;0.5367;0;dmo+24;NAN;0;*;53.04;0;dmo+24;8.7;0;dmo+24;15.5;0;dmo+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-11.371;19.258;19.673;NAN;0;lotaas,ar327;NAN;
28;B0037+56;dtws85;J0040+5716;dtws85;12.39;5.0e-02;dgb+19;-5.40;1.0e-01;dgb+19;0.11;4.0e-02;dgb+19;56000.0;dgb+19;121.452;-5.567;10.1349579;4.2e-07;57.2735647;2.8e-07;1.1182253452412;1.3e-12;hlk+04;2.878973E-15;1.2e-20;hlk+04;92.515;3.0e-03;bkk+16;12.2;0;lylg95;24.4;0;lylg95;NAN;0;*;7.5;5.0e-01;lylg95;0.6;0;lylg95;NAN;0;*;2.420;2.420;ymw17;-0.235;2.055;9.757;NAN;0;gb2,gbncc,lotaas;NAN;
29;J0040-7326;cls+24;J0040-7326;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;59692.1;cab+24;304.019;-43.664;10.0990;2.9e-04;-73.44058;4.7e-05;0.398656580794;1.6e-11;cab+24;5.6055E-15;1.0e-18;cab+24;85.7;6.0e-01;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;58.216;58.216;ymw17;-40.194;-34.906;-15.061;EXGAL:SMC;0;meerkat_trapum;NAN;
30;J0040-7335;cls+24;J0040-7335;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;59692.1;cab+24;303.956;-43.509;10.22746;1.2e-04;-73.59822;2.2e-05;0.1452182310501;1.5e-12;cab+24;2.38526E-14;5.0e-19;cab+24;198.27;6.0e-02;cab+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;61.176;61.176;ymw17;-42.118;-36.802;-16.283;EXGAL:SMC;0;meerkat_trapum;NAN;
