PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J1446-4701,221.64880796,8.3E-08,-47.02410208,1.1E-07,-4,0.2,-2,0.3,NAN,0,55647.8,,PSR,,0.00219469577985,7E-17,9.8102E-21,2E-24,55.83202,0.00014,1.57,1.569,148000000,GRS:2FGL_J1446.8-4701[naa+12]
J1453-6413,223.3861,2.5E-05,-64.221111,1.4E-05,-16,1,-21.3,0.8,NAN,0,55433,,PSR,,0.179486804423,3E-12,2.74416E-15,5E-20,71.248,0.002,2.8,1.435,710000000000,NAN
J1455-3330,223.94987567,9E-08,-33.51288498,1.9E-07,7.91,0.04,-1.9,0.09,0.9,0.2,55293,Perera+ 2019,PSR,,0.007987204806104,4E-17,2.43043E-20,5E-25,13.5698,0.0003,1.01,0.684,446000000,NAN
J1456-6843,223.999679,1.3E-05,-68.727639,5.6E-06,-39.5,0.4,-12.3,0.3,2.2,0.3,57600,,PSR,,0.2633769071818,5E-13,9.895E-17,3E-20,8.639,0.007,0.43,0.438,163000000000,NAN
J1502-6752,225.577562,8.3E-06,-67.871322,5E-06,-6,9,-14,16,NAN,0,55421.2,,PSR,,0.026744423767,6E-14,3.145E-19,1.4E-21,151.2,1.8,7.73,7.73,2930000000,NAN
J1509+5531,227.3567908,4.2E-07,55.525665,5.6E-07,-73.64,0.05,-62.65,0.09,0.47,0.03,52275,,PSR,,0.739681922904,4E-12,4.99821E-15,4E-20,19.6191,0.0003,2.1,2.074,1950000000000,NAN
J1514-4946,228.5796421,4.2E-07,-49.7709767,1.4E-06,-0.3,3.2,-30,66,NAN,0,55520,,PSR,,0.003589336679675,7E-16,1.8646E-20,1.1E-23,31.05,0.02,0.91,0.909,262000000,GRS:3FGL_J1514.2-4947[aaa+15]
J1518+0204C,229.63662039,8.8E-08,2.0799487,2.2E-07,4.67,0.14,-8.24,0.36,NAN,0,52850,,PSR,,0.002483927570246,6E-16,2.6069E-20,1.3E-24,29.3146,0.0006,8,6.616,258000000,GC:M5
J1518+4904,229.56999618,6.7E-08,49.07618089,4.4E-08,-0.67,0.04,-8.53,0.04,NAN,0,52000,,PSR,,0.040934988908333,6E-16,2.719E-20,3E-24,11.61139,8E-05,0.96,0.964,1070000000,NAN
J1527-3931,231.99512,3.8E-05,-39.52617,5.6E-05,-33,37,-12,111,NAN,0,54217,S.J.Dang+ 2020,PSR,CT,2.41760539442,1.2E-10,1.9083E-14,1.2E-17,49,3,1.71,1.708,6870000000000,NAN
J1532+2745,233.0431858,4.2E-07,27.7637842,2.8E-07,1.542,0.104,18.932,0.111,0.624,0.064,49666,Deller+ 2019,PSR,,1.124835742767,7E-12,7.7956E-16,6E-20,14.691,0.016,1.69,1.321,948000000000,NAN
J1534-5334,233.53449,2.5E-05,-53.57213,2.2E-05,-27,10,-12,10,NAN,0,57600,,PSR,,1.368882242545,6E-12,1.4288E-15,4E-19,24.82,0.01,0.81,0.81,1420000000000,NAN
J1537+1155,234.291507208,1.3E-08,11.932064964,1.7E-08,1.482,0.007,-25.285,0.012,0.86,0.18,52077,,PSR,,0.037904441178305,1.6E-16,2.422494E-18,3E-24,11.61944,2E-05,1.05,0.877,9700000000,XRS:[kpg06b]
J1539-5626,234.8086,0.00075,-56.44064,5.6E-05,49,13,-36,16,NAN,0,55408,,PSR,,0.243395150846,1.1E-11,4.847844E-15,1.2E-20,175.85,0.03,3.54,3.536,1100000000000,NAN
J1543-0620,235.8755721,4.2E-07,-6.3459256,5.6E-07,-16.774,0.044,-0.312,0.131,0.322,0.036,49423,Deller+ 2019,PSR,,0.709064069786,4E-12,8.7954E-16,4E-20,18.3774,0.0009,3.23,1.121,799000000000,NAN
J1543+0929,235.9117708,4.2E-07,9.4878719,5.6E-07,-7.61,0.06,-2.87,0.07,0.13,0.02,52275,,PSR,,0.748448416229,6E-12,4.3248E-16,4E-20,34.9758,0.0016,5.9,5.9,576000000000,NAN
J1543-5149,235.9339575,8.3E-07,-51.8318569,5.6E-07,-4.3,1.4,-4,2,NAN,0,55522,,PSR,,0.002056960392416,6E-16,1.6159E-20,1.3E-23,50.93,0.14,1.15,1.148,184000000,GRS:[nbb+14]
J1550-5418,237.725516,2.7E-06,-54.3066984,5.6E-07,4.8,0.5,-7.9,0.3,NAN,0,54795,,MAG,,2.06983302,4E-08,2.318E-11,5E-14,830,50,4,6.291,222000000000000,XRS:1E_1547.0-5408[gg07]
J1552-4937,238.0552954,1.7E-06,-49.630484,3.1E-06,-3,3,-13,8,NAN,0,54033,,PSR,,0.006284311381417,1.2E-15,1.9E-20,4E-23,114.19,0.08,3.06,3.06,350000000,NAN
J1557-4258,239.251075,3.8E-06,-42.970183,5.6E-06,-3,1,10,2,NAN,0,48017,,PSR,,0.329186857758,2E-12,3.3012E-16,2E-20,144.497,0.002,8.63,8.63,334000000000,NAN
J1559-4438,239.92302552,3.3E-08,-44.646083827,9.7E-09,1.52,0.14,13.15,0.05,0.384,0.081,54100,,PSR,,0.2570560976508,1.1E-12,1.01916E-15,8E-20,56.1,0.4,2.3,1.48,518000000000,NAN
J1600-3053,240.216262747,9.7E-09,-30.89705476,2.9E-08,-0.97,0.01,-7.04,0.05,0.5,0.06,55885,Perera+ 2019,PSR,,0.003597928455005,8E-18,9.50006E-21,7E-26,52.3299,0.0002,2,2.535,187000000,GRS:2FGL_J1600.7-3053[naa+12]
J1600-5044,240.220896,8.3E-06,-50.73925,1.1E-05,-5,2,-13,2,NAN,0,57600,,PSR,,0.1926048997686,4E-13,5.06191E-15,4E-20,262.791,0.004,6.9,5.133,999000000000,NAN
1603-2531,240.770105,2.5E-06,-25.52997,0.00011,-34,4,22,18,NAN,0,50719,S.J.Dang+ 2020,PSR,CT,0.283070376692,1.3E-11,1.59223E-15,1.1E-19,53.763,0.004,3.41,3.412,679000000000,NAN
J1603-7202,240.89865629,1.7E-07,-72.04242496,5.3E-08,-2.47,0.03,-7.36,0.04,1.1,0.8,54500,Perera+ 2019,PSR,,0.014841952251082,7E-16,1.563E-20,3E-24,38.0471,0.0001,0.53,1.129,487000000,NAN
J1604-4909,241.095733,8.3E-06,-49.166106,8.3E-06,-12,3,9,5,NAN,0,57600,,PSR,,0.3274185215591,1.1E-12,1.0187E-15,3E-19,140.8,0.5,3.22,3.225,584000000000,NAN
J1605+3249,241.32717,0.00012,32.82167,8.3E-05,-25,16,142,15,NAN,0,52111,,XDINS,,6.88,0,NAN,0,NAN,0,NAN,NAN,NAN,XRS:RX_J1605.3+3249
J1607-0032,241.8002492,8.3E-07,-0.5448686,5.6E-07,-26.437,0.063,-27.505,0.211,0.934,0.036,46973,Deller+ 2019,PSR,,0.42181623358258,1.3E-13,3.060926E-16,6E-22,10.6823,0.0001,1.09,0.68,364000000000,NAN
J1614+0737,243.67044,3.8E-05,7.62528,6.9E-05,-5,12,58,23,NAN,0,54192,S.J.Dang+ 2020,PSR,CT,1.206801436397,5E-12,2.35957E-15,3E-20,21.3949,0.0003,1.63,1.626,1710000000000,NAN
J1614-2230,243.65211392,7.7E-08,-22.5086863,3.9E-07,3.6,0.2,-33,1,1.46,0.09,56047,Perera+ 2019,PSR,,0.003150807655461,4E-18,9.62419E-21,1E-25,34.9179,0.0003,0.7,1.431,176000000,GRS:2FGL_J1614.5-2230[naa+12]
J1622-0315,245.7484521,1.3E-06,-3.2603689,1.9E-06,-15.4,1.7,37.5,5.1,NAN,0,56769,,PSR,,0.003845429067931,3E-15,1.16E-20,1E-22,21.4,0,1.14,1.141,214000000,GRS:3FGL_J1622.9-0312[san16]
J1622-6617,245.5152837,1.7E-06,-66.2880494,1.7E-06,-3,2,6,4,NAN,0,55253.1,,PSR,,0.023623444739392,1.2E-14,5.88E-20,3E-22,88.024,0.009,4.05,4.047,1190000000,NAN
J1623-0908,245.8235829,4.2E-07,-9.1468703,5.6E-07,-10.769,0.126,23.509,0.118,0.586,0.101,48715,Deller+ 2019,PSR,,1.2764458195155,1.7E-12,2.580711E-15,1E-20,68.183,0.01,1.67,1.67,1840000000000,NAN
J1623-2631,245.9092575,8.3E-07,-26.5316025,5.6E-07,-13.4,1,-25,5,NAN,0,48725,,PSR,,0.011075750914203,1.8E-15,6.7093E-19,4E-23,62.8633,0.0005,1.8,3.651,2760000000,GC:M4
J1628-3205,247.02917,0,-32.09692,0,-6.4,1,-19.81,0.82,1.2,0.56,57205.875,Jennings+ 2018,Binary PSR,,0.00321,0,NAN,0,42.1,0,1.22,1.225,NAN,GRS:2FGL_J1628.3-3206[naa+12]
J1630+3734,247.6519455,2.9E-07,37.5783603,2.8E-07,2.4,3.5,-15.9,3.4,NAN,0,56136,,PSR,,0.003318112129394,9E-16,1.077E-20,9E-23,14.18009,7E-05,1.19,1.187,191000000,GRS:3FGL_J1630.2+3733[san16]
J1640+2224,250.069771123,1.6E-08,22.402451127,2E-08,2.08,0.01,-11.34,0.02,0.6,0.4,55366,Perera+ 2019,PSR,,0.003163315818802,2E-18,2.81727E-21,6E-26,18.462,0.008,1.52,1.507,95500000,GRS:[hsg+14]
