#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;
1525;J1731-33;ccb+20;J1731-33;ccb+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;354.313;-0.104;262.95;1.0e-01;-33.80;1.2e-01;0.6069003;1.6e-06;ccb+20;NAN;0;*;571;9.0e+00;ccb+20;48.4;0;ccb+20;88.7;0;ccb+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.341;4.341;ymw17;-0.008;-0.430;4.180;NAN;*;htru_pks;
1526;J1731-3322;ncb+15;J1731-3322;ncb+15;NAN;0;*;NAN;0;*;NAN;0;*;56716.00;*;354.601;0.225;262.8096;4.2e-04;-33.3792;5.6e-04;0.54467054719;4.0e-11;ncb+15;2.8093E-14;1.8e-17;ncb+15;877.4;0;ncb+15;33.5;0;ncb+15;71.4;0;ncb+15;NAN;0;*;NAN;0;*;0.10;0;ncb+15;NAN;0;*;5.550;5.550;ymw17;0.022;-0.522;2.975;NAN;*;htru_pks;
1527;B1727-47;lvw68;J1731-4744;lvw68;73;1.5e+01;skz+19;-132;1.4e+01;skz+19;NAN;0;*;53000;skz+19;342.565;-7.669;262.92567;2.1e-05;-47.743406;1.7e-05;0.82982878524;5.0e-11;wmp+00;1.63626E-13;4.0e-18;wmp+00;123.056;4.0e-03;pkj+13;18;0;pkj+21;24;0;pkj+21;6.43E-5;1.4e-06;kmn+15;190;0;mlt+78;27;3.0e+00;jvk+18;NAN;0;*;0.700;5.540;ymw17;-0.093;-0.208;7.838;GRS:4FGL_J1731.7-4744[aab+22],SNR:G343.0-6.0(RCW114)[skz+19];*;mol1,FermiAssoc,htru_pks,mol2,pks70,pkssw;
1528;J1732-1930;lml+98;J1732-1930;lml+98;NAN;0;*;NAN;0;*;NAN;0;*;51197.0;hlk+04;6.417;7.563;263.08344;1.3e-04;-19.5024;1.9e-03;0.483769998047;8.0e-12;hlk+04;1.8180E-16;1.0e-19;hlk+04;72.43;1.4e-01;hlk+04;16;2.0e+00;dsb+98;23;2.0e+00;dsb+98;NAN;0;*;11;0;lml+98;0.3;0;gl98;NAN;0;*;2.634;2.634;ymw17;0.347;0.292;5.905;NAN;*;pks70,htru_pks;
1529;J1732-3131;aaa+09c;J1732-3131;aaa+09c;NAN;0;*;NAN;0;*;NAN;0;*;54933.00;*;356.307;1.007;263.13975;1.2e-04;-31.5231;5.6e-04;0.196543154965;2.0e-11;rkp+11;2.80483E-14;1.2e-18;rkp+11;15.4;4.0e-01;mad12;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.641;0.641;ymw17;0.011;-0.041;7.860;GRS:4FGL_J1732.5-3131[aab+22];*;FermiBlind;
1530;J1732-3426;lfl+06;J1732-3426;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52359.00;*;353.818;-0.507;263.0299;2.9e-04;-34.4347;8.3e-04;0.33288667881;4.0e-11;lfl+06;4.02E-16;9.0e-18;lfl+06;513.5;1.8e+00;lfl+06;14;0;lfl+06;33;0;lfl+06;NAN;0;*;NAN;0;*;0.24;0;lfl+06;NAN;0;*;4.333;4.333;ymw17;-0.038;-0.467;4.192;NAN;*;pksmb,htru_pks;
1531;J1732-35;ncb+15;J1732-35;ncb+15;NAN;0;*;NAN;0;*;NAN;0;*;56657.00;*;353.318;-0.926;263.13;1.0e-01;-35.08;1.2e-01;0.126689998553;5.0e-12;ncb+15;NAN;0;*;340;2.0e+00;ncb+15;6.6;0;ncb+15;14.1;0;ncb+15;NAN;0;*;NAN;0;*;0.13;0;ncb+15;NAN;0;*;4.042;4.042;ymw17;-0.065;-0.470;4.486;NAN;*;htru_pks;
1532;J1732-3729;kbm+03;J1732-3729;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51724.00;*;351.288;-2.211;263.0867;2.1e-04;-37.4847;8.3e-04;2.18400134708;1.5e-10;kbm+03;1.30E-15;5.0e-17;kbm+03;317;3.0e+00;kbm+03;40;0;kbm+03;73;0;kbm+03;NAN;0;*;NAN;0;*;0.31;4.0e-02;kbm+03;NAN;0;*;10.939;10.939;ymw17;-0.422;-1.656;-2.305;NAN;*;pksmb,htru_pks;
1533;B1729-41;mlt+78;J1732-4128;mlt+78;NAN;0;*;NAN;0;*;NAN;0;*;43565.05;*;347.980;-4.462;263.2083;4.2e-04;-41.4800;1.1e-03;0.6279806844;3.0e-10;nmc81;1.2838E-14;1.2e-17;nmc81;195.3;4.0e-01;hfs+04;13.4;0;jk18;24;0;hfs+04;0.00019;3.0e-05;kmn+15;9;0;tml93;1.1;2.0e-01;jk18;NAN;0;*;7.234;7.234;ymw17;-0.563;-1.502;1.446;NAN;*;mol2,htru_pks,pksmb;
1534;J1732-4156;hfs+04;J1732-4156;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;51911.00;*;347.589;-4.709;263.20358;1.7e-04;-41.9416;4.4e-04;0.323434055969;1.3e-11;hfs+04;6.61E-16;6.0e-18;hfs+04;228.7;1.5e+00;hfs+04;21;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.22;3.0e-02;hfs+04;NAN;0;*;11.527;11.527;ymw17;-0.946;-2.469;-2.720;NAN;*;pksmb;
1535;J1733-01;mss+20;J1733-01;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;22.787;16.899;263.25000;0;-1.00000;0;0.302;0;mss+20;NAN;0;*;61.98;8.0e-02;mss+20;10;0;mss+20;16;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.759;2.759;ymw17;0.802;1.022;6.066;NAN;*;gbncc;
1536;B1730-22;dls73;J1733-2228;dls73;NAN;0;*;NAN;0;*;NAN;0;*;48712.0;hlk+04;4.029;5.749;263.36016;1.5e-04;-22.477;3.0e-03;0.871682832986;3.0e-12;hlk+04;4.2703E-17;1.0e-20;hlk+04;41.14;3.0e-02;hlk+04;61.3;0;jk18;84.3;0;lylg95;NAN;0;*;25;3.0e+00;lylg95;4.21;2.0e-02;jsd+21;NAN;0;*;1.105;1.105;ymw17;0.111;0.077;7.403;NAN;*;jb1,htru_pks,mol2,pks70,pksmb,pkssw;
1537;J1733-2533;lfl+06;J1733-2533;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;53070.00;*;1.428;4.092;263.3578;3.3e-04;-25.553;5.0e-03;0.65979414168;4.0e-11;lfl+06;2.100E-15;5.0e-18;lfl+06;242;5.0e+00;lfl+06;35;0;lfl+06;57;0;lfl+06;NAN;0;*;NAN;0;*;0.10;0;lfl+06;NAN;0;*;12.040;12.040;ymw17;0.859;0.299;-3.506;NAN;*;pksmb;
1538;J1733-2837;lfl+06;J1733-2837;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;53128.00;*;358.857;2.402;263.3913;2.1e-04;-28.626;2.2e-03;0.76818455674;6.0e-11;lfl+06;1.108E-15;8.0e-18;lfl+06;225;5.0e+00;lfl+06;12;0;lfl+06;20;0;lfl+06;NAN;0;*;NAN;0;*;0.07;0;lfl+06;NAN;0;*;4.740;4.740;ymw17;0.199;-0.094;3.765;NAN;*;pksmb;
1539;J1733-3030;hfs+04;J1733-3030;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;51914.00;*;357.320;1.301;263.4954;2.5e-04;-30.5136;1.9e-03;0.362051962860;1.4e-11;hfs+04;1.6485E-15;1.1e-18;hfs+04;636;3.0e+00;hfs+04;16;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.20;3.0e-02;hfs+04;NAN;0;*;20.610;20.610;ymw17;0.468;-0.963;-12.082;NAN;*;pksmb,htru_pks;
1540;J1733-3322;mhl+02;J1733-3322;mhl+02;NAN;0;*;NAN;0;*;NAN;0;*;51250.00;*;354.917;-0.238;263.4800;3.3e-04;-33.3675;1.1e-03;1.24591463402;8.0e-11;mhl+02;4.10E-15;3.0e-17;mhl+02;524.0;1.7e+00;mhl+02;34.3;0;mhl+02;NAN;0;*;NAN;0;*;NAN;0;*;0.8;2.0e-01;mhl+02;NAN;0;*;4.238;4.238;ymw17;-0.018;-0.375;4.279;NAN;*;pksmb,htru_pks;
1541;B1730-37;jlm+92;J1733-3716;jlm+92;-3;5.0e+00;hly+20;40;1.8e+01;hly+20;NAN;0;*;55359;hly+20;351.577;-2.284;263.361510;5.4e-06;-37.282008;1.7e-05;0.33759499958;1.3e-10;hly+20;1.50446E-14;3.0e-19;hly+20;153.18;8.0e-02;pkj+13;4.3;0;pkj+21;57;0;pkj+21;NAN;0;*;NAN;0;*;3.6;2.0e-01;jvk+18;NAN;0;*;3.150;3.150;ymw17;-0.126;-0.461;5.386;NAN;*;pks1,htru_pks,pksmb;
1542;J1733-4005;hfs+04;J1733-4005;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;52385.00;*;349.266;-3.895;263.49433;1.2e-04;-40.0944;4.2e-04;0.561778329077;1.3e-11;hfs+04;3.624E-15;3.0e-18;hfs+04;317.8;1.1e+00;hfs+04;7.1;0;pkj+21;17;0;pkj+21;NAN;0;*;NAN;0;*;0.49;6.0e-02;hfs+04;NAN;0;*;19.222;19.222;ymw17;-1.306;-3.572;-10.342;NAN;*;pksmb,htru_pks;
1543;J1733-5515;bbb+12;J1733-5515;bbb+12;NAN;0;*;NAN;0;*;NAN;0;*;55194.00;*;336.188;-11.801;263.2517;1.3e-03;-55.2611;1.4e-03;1.011233535;8.0e-09;bbb+12;4.0E-16;2.0e-16;bbb+12;83.9;8.0e-01;bbb+12;45.5;0;jk18;69;0;tjb+13;NAN;0;*;NAN;0;*;0.30;1.0e-01;jk18;NAN;0;*;4.217;4.217;ymw17;-0.862;-1.667;4.724;NAN;*;htru_pks;
1544;B1732-02;dtws85;J1734-0212;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49699.0;hlk+04;21.904;15.928;263.69025;1.0e-04;-2.2109;4.0e-04;0.839394324968;9.0e-12;hlk+04;4.2100E-16;8.0e-20;hlk+04;65.05;9.0e-02;hlk+04;27;0;pkj+21;41.7;0;lylg95;NAN;0;*;5.7;0;dtws85;0.279;1.2e-02;xwh+19;NAN;0;*;1.798;1.798;ymw17;0.493;0.645;6.896;NAN;*;gb2,gbncc;
1545;J1734-2415;lfl+06;J1734-2415;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;53164.00;*;2.678;4.551;263.6733;1.3e-03;-24.26;2.5e-02;0.61252373999;1.2e-10;lfl+06;1.051E-15;1.2e-17;lfl+06;126.3;7.0e-01;lfl+06;17;0;mss+20;49;0;mss+20;NAN;0;*;NAN;0;*;0.29;0;lfl+06;NAN;0;*;3.435;3.435;ymw17;0.273;0.160;5.080;NAN;*;pksmb,gbncc,htru_pks;
1546;J1734-2859;ccb+20;J1734-2859;ccb+20;NAN;0;*;NAN;0;*;NAN;0;*;57674.00;*;358.596;2.119;263.50048;4.2e-05;-28.9982;4.4e-04;0.301455877926;9.0e-12;ccb+20;8.0E-18;6.0e-19;ccb+20;313.9;9.0e-01;ccb+20;8.72;0;ccb+20;26.5;0;ccb+20;NAN;0;*;NAN;0;*;0.13;2.0e-02;ccb+20;NAN;0;*;11.354;11.354;ymw17;0.420;-0.278;-2.843;NAN;*;htru_pks;
1547;J1734-3058;ncb+15;J1734-3058;ncb+15;NAN;0;*;NAN;0;*;NAN;0;*;56400.00;*;357.031;0.893;263.71183;2.9e-05;-30.9782;2.2e-04;0.541285680730;5.0e-12;ncb+15;1.62E-17;5.0e-19;ncb+15;260.0;1.4e+00;ncb+15;14;0;pkj+21;22.6;0;ncb+15;NAN;0;*;NAN;0;*;0.11;0;ncb+15;NAN;0;*;3.744;3.744;ymw17;0.058;-0.194;4.761;NAN;*;htru_pks;
1548;J1734-3333;mhl+02;J1734-3333;mhl+02;10;1.0e+01;evh+22;-29;1.1e+01;evh+22;NAN;0;*;53145.00;*;354.819;-0.433;263.6121;8.3e-04;-33.556;2.8e-03;1.169340685;5.0e-09;elk+11;2.27941E-12;5.0e-17;elk+11;578;9.0e+00;elk+11;230.6;0;jk18;NAN;0;*;NAN;0;*;NAN;0;*;0.71;7.0e-02;evh+22;NAN;0;*;4.461;4.461;ymw17;-0.034;-0.403;4.057;NAN;*;pksmb,htru_pks;
1549;J1735+6320;scb+19;J1735+6320;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;57760;mbc+20;92.721;32.552;263.777342;1.7e-05;63.333350;8.3e-06;0.5107181354080;1.0e-12;mbc+20;3.226E-16;4.0e-19;mbc+20;41.8530;1.0e-03;mbc+20;9.0;1.0e+00;mbc+20;NAN;0;*;NAN;0;*;0.60;1.0e-01;mbc+20;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;13.452;21.049;9.500;NAN;*;lotaas;
1550;J1735-0243;blr+13;J1735-0243;blr+13;NAN;0;*;NAN;0;*;NAN;0;*;54827.00;*;21.564;15.448;263.9504;8.3e-04;-2.7300;1.4e-03;0.7828869765;5.0e-10;blr+13;6.32E-16;1.2e-17;blr+13;54.9;2.0e-01;mss+20;13;0;mss+20;106;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.991;0.991;ymw17;0.264;0.351;7.612;NAN;*;gbt350,gbncc;
1551;B1732-07;ll76;J1735-0724;ll76;0.82;6.0e-02;dgb+19;20.63;6.0e-02;dgb+19;0.15;4.0e-02;dgb+19;56000.0;dgb+19;17.271;13.284;263.7707208;4.2e-07;-7.4144806;2.8e-07;0.4193349661853;1.1e-12;hlk+04;1.214735E-15;9.0e-21;hlk+04;73.512;4.0e-03;hlk+04;4.9;0;pkj+21;22;0;pkj+21;NAN;0;*;18;2.0e+00;lylg95;2.760;1.0e-02;jsd+21;NAN;0;*;6.400;0.213;ymw17;1.471;1.849;2.552;NAN;*;misc,gb2,htru_pks,mol2,pks70,pkssw;
1552;J1735-25;sbb+23;J1735-25;sbb+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;2.117;4.044;263.81250;0;-25.00;1.2e-01;118.68265e-3;0;sbb+23;NAN;0;*;125.0;0;sbb+23;4.2;0;sbb+23;NAN;0;*;NAN;0;*;NAN;0;*;0.11;0;sbb+23;NAN;0;*;3.213;3.213;ymw17;0.227;0.118;5.297;NAN;*;pksmb;
1553;J1735-3258;mhl+02;J1735-3258;mhl+02;NAN;0;*;NAN;0;*;NAN;0;*;55355;psj+19;355.478;-0.381;263.9872;1.5e-03;-32.97273;1.2e-04;0.350971731451;3.0e-12;psj+19;2.60044E-14;4.0e-19;psj+19;758;3.0e+00;pkj+13;85;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.35;6.0e-02;jvk+18;NAN;0;*;4.975;4.975;ymw17;-0.033;-0.392;3.541;NAN;*;pksmb;
1554;J1736+05;cnst96;J1736+05;cnst96;NAN;0;*;NAN;0;*;NAN;0;*;49717.00;*;29.592;19.208;264.23;6.7e-02;5.80;8.3e-02;0.999245;3.0e-06;cnst96;NAN;0;*;42.0;0;whx+23;4.7;7.0e-01;whx+23;8.6;7.0e-01;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.494;2.494;ymw17;0.821;1.163;6.452;NAN;*;ar4,lotaas,pkssw,fast_gpps;
1555;J1736-2457;lfl+06;J1736-2457;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;53095.00;*;2.331;3.775;264.1893;3.3e-04;-24.964;6.1e-03;2.64222343904;1.4e-10;lfl+06;3.43E-15;3.0e-17;lfl+06;169.4;7.0e-01;mss+20;62;0;lfl+06;103;0;lfl+06;NAN;0;*;NAN;0;*;0.84;2.0e-02;hwxh16;NAN;0;*;4.483;4.483;ymw17;0.295;0.182;4.030;NAN;*;pksmb,gbncc,htru_pks;
1556;J1736-2819;hfs+04;J1736-2819;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;51716.00;*;359.446;2.036;264.1030;3.8e-04;-28.328;4.4e-03;1.59241948019;1.3e-10;hfs+04;1.4921E-14;1.3e-17;hfs+04;261;1.1e+01;hfs+04;21;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.16;3.0e-02;hfs+04;NAN;0;*;6.011;6.011;ymw17;0.214;-0.058;2.493;NAN;*;pksmb;
1557;J1736-2843;hfs+04;J1736-2843;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;52344.00;*;359.142;1.764;264.1775;6.7e-04;-28.731;6.1e-03;6.4450360861;1.7e-09;hfs+04;2.999E-14;1.7e-16;hfs+04;331;1.0e+01;hfs+04;145;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.43;5.0e-02;hfs+04;NAN;0;*;10.419;10.419;ymw17;0.321;-0.156;-1.913;NAN;*;pksmb,htru_pks;
1558;J1736-3422;nie+20;J1736-3422;nie+20;NAN;0;*;NAN;0;*;NAN;0;*;59086.00;*;354.310;-1.142;264.00000;0;-34.36667;0;0.347222;0;nie+20;6.56e-14;0;nie+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;NAN;*;-0.000;-0.000;8.500;GRS:4FGL_J1736.1-3422[aab+22];*;FermiAssoc;
1559;J1736-3511;kbm+03;J1736-3511;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;51386.00;*;353.614;-1.598;264.0113;1.3e-03;-35.199;3.1e-03;0.50280278290;1.3e-10;kbm+03;1.57E-15;8.0e-17;kbm+03;106;3.0e+00;kbm+03;15;0;kbm+03;NAN;0;*;NAN;0;*;NAN;0;*;0.18;3.0e-02;kbm+03;NAN;0;*;2.626;2.626;ymw17;-0.073;-0.292;5.891;NAN;*;pksmb,htru_pks;
1560;J1737-0314B;pqm+21;J1737-0314B;pqm+21;-3.59;3.0e-02;vb21;-5.06;3.0e-02;vb21;0.129;1.1e-02;vb21;NAN;*;21.324;14.805;264.40042;0;-3.24583;0;0.00852;0;pqm+21;NAN;0;*;81.0;0;pqm+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;9.100;1.987;ymw17;2.325;3.199;0.304;GC:M14(NGC6402)[pqm+21];*;fast_crafts;
1561;J1737-0314C;pqm+21;J1737-0314C;pqm+21;-3.59;3.0e-02;vb21;-5.06;3.0e-02;vb21;0.129;1.1e-02;vb21;NAN;*;21.324;14.805;264.40042;0;-3.24583;0;0.00846;0;pqm+21;NAN;0;*;80.0;0;pqm+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;9.100;1.895;ymw17;2.325;3.199;0.304;GC:M14(NGC6402)[pqm+21];*;fast_crafts;
1562;J1737-0314D;pqm+21;J1737-0314D;pqm+21;-3.59;3.0e-02;vb21;-5.06;3.0e-02;vb21;0.129;1.1e-02;vb21;NAN;*;21.324;14.805;264.40042;0;-3.24583;0;0.00289;0;pqm+21;NAN;0;*;78.8;0;pqm+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;9.100;1.788;ymw17;2.325;3.199;0.304;GC:M14(NGC6402)[pqm+21];*;fast_crafts;
1563;J1737-0314E;pqm+21;J1737-0314E;pqm+21;-3.59;3.0e-02;vb21;-5.06;3.0e-02;vb21;0.129;1.1e-02;vb21;NAN;*;21.324;14.805;264.40042;0;-3.24583;0;0.00228;0;pqm+21;NAN;0;*;80.4;0;pqm+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;9.100;1.932;ymw17;2.325;3.199;0.304;GC:M14(NGC6402)[pqm+21];*;fast_crafts;
1564;J1737-3102;mhl+02;J1737-3102;mhl+02;NAN;0;*;NAN;0;*;NAN;0;*;51112.00;*;357.298;0.373;264.39054;1.7e-04;-31.0335;1.1e-03;0.76867227339;5.0e-11;mhl+02;3.7334E-14;6.0e-18;mhl+02;280;6.0e+00;mhl+02;14;0;pkj+21;31;0;pkj+21;NAN;0;*;NAN;0;*;0.60;1.0e-01;mhl+02;NAN;0;*;3.602;3.602;ymw17;0.023;-0.170;4.902;NAN;*;pksmb,htru_pks;
1565;J1737-3137;mhl+02;J1737-3137;mhl+02;NAN;0;*;NAN;0;*;NAN;0;*;51234.00;*;356.744;0.145;264.26788;1.7e-04;-31.6225;8.3e-04;0.45043236999;7.0e-11;mhl+02;1.38756E-13;3.0e-18;mhl+02;488.1;4.0e-01;pkj+13;16.3;0;jk18;NAN;0;*;NAN;0;*;NAN;0;*;0.88;6.0e-02;jvk+18;NAN;0;*;4.162;4.162;ymw17;0.011;-0.236;4.345;NAN;*;pksmb,htru_pks;
1566;J1737-32;sbb+23;J1737-32;sbb+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;355.719;-0.623;264.38333;0;-32.90;1.2e-01;634.05961e-3;0;sbb+23;NAN;0;*;477.0;0;sbb+23;94.1;0;sbb+23;NAN;0;*;NAN;0;*;NAN;0;*;0.29;0;sbb+23;NAN;0;*;4.294;4.294;ymw17;-0.047;-0.321;4.218;NAN;*;pksmb;
1567;J1737-3320;hfs+04;J1737-3320;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;51887.00;*;355.308;-0.795;264.2938;2.1e-04;-33.3389;1.4e-03;0.81627308018;6.0e-11;hfs+04;2.251E-15;6.0e-18;hfs+04;804;5.0e+00;hfs+04;42;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.35;4.0e-02;hfs+04;NAN;0;*;13.381;13.381;ymw17;-0.186;-1.094;-4.835;NAN;*;pksmb,htru_pks;
1568;B1734-35;jlm+92;J1737-3555;jlm+92;NAN;0;*;NAN;0;*;NAN;0;*;48378.60;*;353.175;-2.268;264.41683;2.5e-05;-35.92883;1.1e-04;0.397584746441;3.0e-12;jml+95;6.1214E-15;2.0e-19;jml+95;89.41;4.0e-02;jml+95;6.6;0;pkj+21;16;0;pkj+21;NAN;0;*;NAN;0;*;1.0;2.0e-01;jk18;NAN;0;*;2.489;2.489;ymw17;-0.099;-0.296;6.031;NAN;*;pks1,htru_pks,pksmb;
1569;J1738+04;dsm+16;J1738+04;dsm+16;NAN;0;*;NAN;0;*;NAN;0;*;57022.00;*;28.392;18.207;264.60;1.2e-01;4.33;1.3e-01;1.39179;0;dsm+16;NAN;0;*;23.1;0;whx+23;6.9;7.0e-01;whx+23;10.0;7.0e-01;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.066;1.066;ymw17;0.333;0.482;7.609;NAN;*;ar327,fast_gpps;
1570;J1738-2330;lfl+06;J1738-2330;lfl+06;NAN;0;*;NAN;0;*;NAN;0;*;53206.00;*;3.731;4.280;264.5367;1.3e-03;-23.51;2.9e-02;1.97884743163;4.0e-11;lfl+06;8.559E-15;4.0e-18;lfl+06;96.6;1.3e+00;mss+20;35;0;lfl+06;69;0;lfl+06;NAN;0;*;NAN;0;*;1.05;3.0e-02;hwxh16;NAN;0;*;2.832;2.832;ymw17;0.211;0.184;5.682;NAN;*;pksmb,gbncc,htru_pks;
1571;J1738-2647;hfs+04;J1738-2647;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;52359.00;*;0.940;2.544;264.52096;1.7e-04;-26.796;7.2e-03;0.34959099098;5.0e-11;hfs+04;3.153E-15;1.5e-17;hfs+04;182.2;1.6e+00;hfs+04;3.8;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.44;5.0e-02;hfs+04;NAN;0;*;4.127;4.127;ymw17;0.183;0.068;4.378;NAN;*;pksmb,htru_pks;
1572;J1738-2736;ncb+15;J1738-2736;ncb+15;NAN;0;*;NAN;0;*;NAN;0;*;56315.00;*;0.272;2.081;264.56095;2.1e-05;-27.6072;2.5e-04;0.627715518484;1.9e-11;ncb+15;4.6243E-15;7.0e-19;ncb+15;323.6;7.0e-01;ncb+15;12;0;pkj+21;23.7;0;ncb+15;NAN;0;*;NAN;0;*;0.17;0;ncb+15;NAN;0;*;11.989;11.989;ymw17;0.435;0.057;-3.481;NAN;*;htru_pks;
1573;J1738-2955;mhl+02;J1738-2955;mhl+02;NAN;0;*;NAN;0;*;NAN;0;*;55377;psj+19;358.378;0.724;264.71717;8.3e-05;-29.93262;5.0e-05;0.44342528830;4.0e-11;psj+19;8.2022E-14;3.0e-18;psj+19;223.4;6.0e-01;mhl+02;8.2;0;pkj+21;62;0;mhl+02;NAN;0;*;NAN;0;*;0.24;2.0e-02;jvk+18;NAN;0;*;3.460;3.460;ymw17;0.044;-0.098;5.042;NAN;*;pksmb;
1574;J1738-3107;hfs+04;J1738-3107;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;52333.00;*;357.358;0.100;264.6975;1.3e-03;-31.129;3.9e-03;0.54949769829;1.3e-10;hfs+04;3.0E-16;7.0e-17;hfs+04;735;1.0e+01;hfs+04;34;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.26;4.0e-02;hfs+04;NAN;0;*;4.790;4.790;ymw17;0.008;-0.221;3.715;NAN;*;pksmb,htru_pks;
1575;B1735-32;cjlm87;J1738-3211;cjlm87;NAN;0;*;NAN;0;*;NAN;0;*;49595.0;hlk+04;356.466;-0.491;264.72577;3.6e-05;-32.19823;1.6e-04;0.768498945480;3.0e-12;hlk+04;7.94911E-16;1.8e-20;hlk+04;49.59;4.0e-02;hlk+04;11;0;pkj+21;25;0;pkj+21;NAN;0;*;2.9;0;lylg95;2.4;5.0e-01;jk18;NAN;0;*;1.274;1.274;ymw17;-0.011;-0.079;7.228;NAN;*;jb2,htru_pks,pks1,pksmb;
1576;J1738-3316;hfs+04;J1738-3316;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;51702.00;*;355.525;-1.003;264.6435;2.5e-04;-33.2671;1.4e-03;0.73037251102;5.0e-11;hfs+04;8.9E-17;4.0e-18;hfs+04;273;4.0e+00;hfs+04;91;0;hfs+04;NAN;0;*;NAN;0;*;NAN;0;*;0.55;7.0e-02;hfs+04;NAN;0;*;3.755;3.755;ymw17;-0.066;-0.293;4.757;NAN;*;pksmb;
1577;J1739+0612;jbo+09;J1739+0612;jbo+09;NAN;0;*;NAN;0;*;NAN;0;*;53000.00;*;30.261;18.858;264.824858;1.7e-05;6.2079;2.8e-04;0.234169035616;3.0e-12;jbo+09;1.5640E-16;1.2e-19;jbo+09;95.4;0;whx+23;11.4;4.0e-01;whx+23;23.2;4.0e-01;whx+23;NAN;0;*;NAN;0;*;0.8;2.0e-01;jk18;NAN;0;*;25.000;25.000;ymw17;8.081;11.922;-11.934;NAN;*;pkssw,fast_gpps;
1578;J1739-1313;ebvb01;J1739-1313;ebvb01;NAN;0;*;NAN;0;*;NAN;0;*;51500.00;*;12.794;9.297;264.99092;2.5e-05;-13.22183;1.1e-04;1.215697613611;9.0e-12;ebvb01;8.17E-17;9.0e-19;ebvb01;58.2;5.0e-01;ebvb01;7.1;0;pkj+21;12;0;pkj+21;NAN;0;*;NAN;0;*;0.9;2.0e-01;jk18;NAN;0;*;0.735;0.735;ymw17;0.119;0.161;7.793;NAN;*;pkssw,htru_pks;
